점포구분명,상세영업상태명,사업장명,좌표정보(X),좌표정보(Y)
관광숙박업,영업중,동서울 관광호텔,208051.884671132,447994.805558304
관광숙박업,영업중,SK 네트웍스 (주) 워커힐,209775.267831522,450327.57709331
관광숙박업,영업중,더 클래식 500 펜타즈,206217.434726027,448506.218743834
관광숙박업,영업중,호텔 컬리넌 건대,206032.404204369,449812.167768449
관광숙박업,영업중,호텔더디자이너스건대,206698.893815455,450714.384110768
관광숙박업,영업중,호텔부티크나인,207010.871583566,450476.132985226
관광숙박업,영업중,호텔컬리넌건대2,206049.041722081,449837.413487285
관광숙박업,영업중,에이치 에비뉴 건대점,205814.775584133,449312.4702829
관광숙박업,영업중,호텔더디자이너스프리미어건대,205879.365670312,449454.638559578
관광숙박업,영업중,휴호스텔,207451.978559216,448383.349035758
관광숙박업,영업중,호텔케이월드,205540.082598602,448702.306849626
관광숙박업,영업중,나무호텔,209407.745384399,449459.252995276
