점포구분명,상세영업상태명,사업장명,좌표정보(X),좌표정보(Y)
대규모점포,정상영업,노룬산시장,205663.081069121,448250.363358949
대규모점포,정상영업,조양시장,205886.288968009,448517.338628068
대규모점포,정상영업,중곡제일시장,207114.498872176,451296.049443757
대규모점포,정상영업,신성종합시장,207747.893953282,450639.201015458
대규모점포,정상영업,자양종합시장,206686.364451141,447752.463189936
대규모점포,정상영업,한아름시장,206107.775163579,449029.342177779
대규모점포,정상영업,광성시장,207098.994772766,451260.44574067
대규모점포,정상영업,동서울터미널상가,208201.993320839,447967.299542306
대규모점포,정상영업,현대종합상가,208644.819209521,448711.725750126
대규모점포,정상영업,구의현대종합상가,208403.746065593,448490.239179557
대규모점포,정상영업,프라임프라자상가,208558.286631653,448353.905156369
대규모점포,정상영업,테크노-마트21,208394.416382167,448165.279999905
대규모점포,정상영업,롯데쇼핑(주)롯데마트 강변점,208394.416382167,448165.279999905
대규모점포,정상영업,프라젠 스파,207368.624495222,447632.296040333
대규모점포,정상영업,(주)이마트 자양점,206349.675048285,448396.939704285
대규모점포,정상영업,롯데백화점 건대스타시티점,206217.434726027,448506.218743834
대규모점포,정상영업,파크에비뉴,206212.244268239,449577.174890763
대규모점포,정상영업,(주)이마트에브리데이 중곡동점,207114.498872176,451296.049443757
대규모점포,정상영업,(주)지에스리테일GS수퍼 광진화양점,206107.775163579,449029.342177779
대규모점포,정상영업,홈플러스익스프레스 중곡2점,207778.116493941,450250.255643789
대규모점포,정상영업,홈플러스(주)익스프레스 중곡점,207001.872308692,450597.61492646
대규모점포,정상영업,롯데쇼핑(주)롯데슈퍼 아차산점,208075.543534642,449971.642025946
대규모점포,정상영업,홈플러스익스프레스 구의2점,208261.748825555,448701.658478751
대규모점포,정상영업,커먼그라운드,205758.816662193,448768.161400623
대규모점포,정상영업,구의 자이르네 판매시설,,
대규모점포,정상영업,GS THE FRESH 광진구의점,207400.608063491,448930.683211743
