점포구분명,상세영업상태명,사업장명,좌표정보(X),좌표정보(Y)
숙박업,영업,워커힐,209775.267831522,450327.57709331
숙박업,영업,큐(Q),205850.752898178,449421.557205139
숙박업,영업,그랜드모텔,205776.113127654,449246.304001248
숙박업,영업,황금모텔,207616.439261264,449241.028369767
숙박업,영업,신한모텔,206217.242616575,449008.155441597
숙박업,영업,은하장여관,206179.144514521,449459.028334444
숙박업,영업,호림장여관,206151.025099262,449389.395434969
숙박업,영업,부림장여관,206919.434237423,451288.62120607
숙박업,영업,중곡여관,207645.772261667,450760.601452669
숙박업,영업,초원모텔,205747.652768191,448872.271285572
숙박업,영업,시마모텔,205725.117770632,448588.18053061
숙박업,영업,동서여관,206975.515697662,451256.913989812
숙박업,영업,영빈여관,207674.703483018,450278.085518096
숙박업,영업,모텔위드,206393.795051971,450598.775043342
숙박업,영업,투모텔,206732.350570372,450545.404232696
숙박업,영업,리베라,205947.076748379,449370.890070262
숙박업,영업,이화장여관,207708.547487608,450339.074193646
숙박업,영업,세종여관,205891.152578951,449429.760473314
숙박업,영업,폼 모텔,207528.015993508,448344.15499871
숙박업,영업,월 호텔(아차산역),208153.013079542,449591.17376194
숙박업,영업,영동장여관,205321.284730435,448212.742081082
숙박업,영업,뮤즈모텔,207418.481679701,448333.157588195
숙박업,영업,힐모텔,205897.02142653,449416.260602558
숙박업,영업,엠모텔,205987.103240736,449462.523409362
숙박업,영업,서울장여관,207476.418168732,450901.506885223
숙박업,영업,휘모텔,206995.040093534,450699.020665486
숙박업,영업,골드모텔,207491.770475999,448332.122857809
숙박업,영업,유토피아,207675.573239046,449402.550798111
숙박업,영업,헤나모텔,207706.333240388,450355.34449522
숙박업,영업,프린스모텔,205901.559494464,449439.399698752
숙박업,영업,프리마모텔,206086.374116549,449463.547117001
숙박업,영업,티아라모텔,205966.649092527,449499.944055468
숙박업,영업,플라워모텔,205982.328197371,449451.849967719
숙박업,영업,모텔스타킹,205955.064737453,449500.908290474
숙박업,영업,발리모텔,206811.303715113,448382.640252737
숙박업,영업,피넛호텔,207400.578773815,447913.032479407
숙박업,영업,박스(BOX)호텔,208197.480705123,448648.416505638
숙박업,영업,M.칼라스,207961.691771307,449823.696888296
숙박업,영업,대하장여관,209162.470345601,449284.449743562
숙박업,영업,화양장여관,206045.707257167,448651.962282277
숙박업,영업,넘버25호텔 중곡점,207157.899588742,451076.82510567
숙박업,영업,랑데뷰,207306.44624601,452051.730320809
숙박업,영업,파인힐,207565.43395181,452051.909676563
숙박업,영업,샐몬모텔,206632.809896476,451272.362374307
숙박업,영업,정모텔,207312.069472884,452094.741574905
숙박업,영업,문,206973.627215929,451906.887051862
숙박업,영업,몰디브,206997.654706004,450484.085299752
숙박업,영업,아미가,206666.314428187,450546.534657038
숙박업,영업,헤라모텔,206494.379654847,450972.566595408
숙박업,영업,위시앤스테이(WISH&STAY),208263.69457561,448886.418038269
숙박업,영업,코지,207753.598205093,450393.424922675
숙박업,영업,강변모텔,205310.285709458,448183.850317743
숙박업,영업,은성,206577.287991319,447806.088004584
숙박업,영업,라마,207257.069658853,451928.745163603
숙박업,영업,코자자모텔,205905.765976001,449462.648617056
숙박업,영업,호텔테마,206038.421088232,449508.096492795
숙박업,영업,(주)동서울관광호텔,208051.884671132,447994.805558304
숙박업,영업,귀빈장,207709.979502158,450328.823860197
숙박업,영업,애플,206715.163962974,450559.947859031
숙박업,영업,더클래식500펜타즈,206217.434726027,448506.218743834
숙박업,영업,호텔컬리넌건대,206032.404204369,449812.167768449
숙박업,영업,호텔부티크나인,207010.871583566,450476.132985226
숙박업,영업,호텔컬리넌 건대2,206049.041722081,449837.413487285
숙박업,영업,에이치에비뉴 호텔 건대점,205814.775584133,449312.4702829
숙박업,영업,호텔더디자이너스 프리미어 건대,205879.365670312,449454.638559578
숙박업,영업,호텔케이월드,205540.082598602,448702.306849626
숙박업,영업,호텔더디자이너스건대,206698.893815455,450714.384110768
숙박업,영업,나무호텔,209407.745384399,449459.252995276
