"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자"
"3040000","PHMA219623040033021200001","19620201","","01","영업/정상","13","영업중","","","","","02-2204-0114","","","서울특별시 광진구 중곡동 30번지 1호","서울특별시 광진구 용마산로 127 (중곡동, 국립정신건강센터)","04933","국립정신건강센터","2020-11-03 16:49:39","U","2020-12-03 02:40:00.0","병원","207510.076791915","451417.864438667","병원","162","75","200","18465.4","401 122 121 119 116 111 109 103 102 101","내과, 신경과, 정신건강의학과, 마취통증의학과, 소아청소년과, 영상의학과, 진단검사의학과, 결핵과, 가정의학과, 치과","","","","0","0","","","0",""
"3040000","PHMA219823040033021200001","19821116","","01","영업/정상","13","영업중","","","","","1588-1533","","143729","서울특별시 광진구 화양동 4번지 12호 , 4번지19호","서울특별시 광진구 능동로 120-1 (화양동)","05030","건국대학교병원","2022-02-22 18:21:56","U","2022-02-24 02:40:00.0","종합병원","206303.03222946","448689.878161826","종합병원","1244","238","842","83457.96","404 403 402 125 123 122 120 119 118 117 116 115 114 113 112 111 110 109 108 107 106 105 104 103 102 101","내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 응급의학과, 구강악안면외과, 치과보철과, 치과교정과","","","","0","0","","","0",""
"3040000","PHMA219853040033021200001","1985-11-13","","01","영업/정상","13","영업중","","","","","02-2049-9000","","143-867","서울특별시 광진구 자양동 627번지 3호","서울특별시 광진구 자양로 85 (자양동)","05056","혜민병원","2023-03-16 16:51:20","U","2022-12-02 23:08:00.0","종합병원","207307.270591653","448107.552520605","","","","","","","","","","","","","","","",""
"3040000","PHMA219903040033021200001","19900501","","03","폐업","03","폐업","20150730","20141112","20150731","","02-463-2311","","143916","서울특별시 광진구 화양동 21번지 20호","서울특별시 광진구 동일로30길 9 (화양동)","143916","최차혜병원","2015-12-23 08:10:13","I","2018-08-31 23:59:59.0","병원","205926.271282258","449507.22510766","병원","21","21","36","3750.74","110 109 101 122 111 114 401","내과, 마취통증의학과, 산부인과, 소아청소년과, 피부과, 가정의학과, 치과","","","","0","0","","","0",""
"3040000","PHMA220023040033021200001","20020222","","03","폐업","03","폐업","20091202","","","","02-453-1275","","143200","서울특별시 광진구 구의1동 234-14","","","구의한방병원","2009-12-02 14:26:30","I","2018-08-31 23:59:59.0","한방병원","","","한방병원","10","0","50","1247","301 302 303 306 308 307 304 304 305","한방내과, 한방부인과, 한방소아과, 한방안?이비인후?피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0",""
"3040000","PHMA220043040033021200001","20040611","","01","영업/정상","13","영업중","","","","","02-452-7272","","143180","서울특별시 광진구 능동 276-2","서울특별시 광진구 천호대로 556 (능동)","04985","광진예치과병원","2018-05-30 13:14:51","I","2018-08-31 23:59:59.0","치과병원","206972.721585135","450495.893226514","치과병원","4","0","0","363.75","401","치과","","","","0","0","","","0",""
"3040000","PHMA220073040033021200001","20070430","","03","폐업","03","폐업","20210218","","","","02-466-5151","","143190","서울특별시 광진구 자양동 25-2","서울특별시 광진구 동일로 82-1 (자양동)","05079","리안요양병원","2021-02-18 15:10:12","U","2021-02-20 02:40:00.0","요양병원(일반요양병원)","205507.103014693","448633.824455964","요양병원(일반요양병원)","12","16","79","1630.16","105 120 101 102","내과, 신경과, 정형외과, 재활의학과","","","","0","0","","","0",""
"3040000","PHMA220073040033021200002","20070528","","01","영업/정상","13","영업중","","","","","02-3436-8888","","143819","서울특별시 광진구 구의2동 80번지 25호","서울특별시 광진구 자양로 215 (구의동)","04993","제니스병원","2021-12-17 09:20:51","U","2021-12-19 02:40:00.0","병원","207569.609746903","449364.569115862","병원","18","25","89","1987.16","122 120 109 102 101","내과, 신경과, 마취통증의학과, 재활의학과, 가정의학과","","","","0","0","","","0",""
"3040000","PHMA220083040033021200001","20080110","","03","폐업","03","폐업","20080623","","","","463-6600","","143916","서울특별시 광진구 화양동 24번지 17호","서울특별시 광진구 동일로 154 (화양동)","","동부병원","2008-12-06 09:45:49","I","2018-08-31 23:59:59.0","병원","205799.162717309","449285.820248663","병원","2","11","55","753.28","122 101 104 102","내과, 신경과, 외과, 가정의학과","","","","0","0","","","0",""
"3040000","PHMA220083040033021200002","20080118","","01","영업/정상","13","영업중","","","","","02-466-7528","","143130","서울특별시 광진구 화양동 6번지 1호 3, 4층","서울특별시 광진구 능동로 103, 3.4층 (화양동)","05017","에스(S)리더치과병원","2021-01-26 09:24:55","U","2021-01-28 02:40:00.0","치과병원","206163.281973626","448682.578827966","치과병원","7","0","0","527.87","401","치과","","","","0","0","","","0",""
"3040000","PHMA220093040033021200001","20091202","","03","폐업","03","폐업","20110617","","","","453-1275","","143824","서울특별시 광진구 구의1동 234번지 14호","서울특별시 광진구 광나루로 506 (구의동)","","광진구의한방병원","2014-09-24 16:48:33","I","2018-08-31 23:59:59.0","한방병원","207501.564265218","449169.370576213","한방병원","8","14","52","1156","304 301 307 302 308 305 303 306","한방내과, 한방부인과, 한방소아과, 한방안?이비인후?피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0",""
"3040000","PHMA220113040033021200001","20111226","","01","영업/정상","13","영업중","","","","","02-1577-9844","","143837","서울특별시 광진구 군자동 27번지 2호 지하1,2,3,4,5,6층","서울특별시 광진구 능동로 261 (군자동)","04998","바른본병원","2019-05-14 17:23:47","U","2019-05-16 02:40:00.0","병원","206746.708330261","450141.931842062","병원","28","9","42","1551.59","116 109 106 105","정형외과, 신경외과, 마취통증의학과, 영상의학과","","","","0","0","","","0",""
"3040000","PHMA220123040033021200001","20120530","","01","영업/정상","13","영업중","","","","","3425-8200","","","서울특별시 광진구 능동 222번지 13호 외 222-14","서울특별시 광진구 천호대로 568 (능동)","04985","연세무척나은병원","2019-03-29 17:15:13","U","2019-03-31 02:40:00.0","병원","207070.392315692","450446.773797063","병원","28","9","41","1744.22","105 101 109 120 106 116 119","내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 진단검사의학과, 재활의학과","","","","0","0","","","0",""
"3040000","PHMA220173040033021200001","20171211","","01","영업/정상","13","영업중","","","","","02-461-6602","","","서울특별시 광진구 화양동 24번지 17호","서울특별시 광진구 동일로 154 (화양동)","05013","동부참사랑요양병원","2019-07-24 10:37:28","U","2019-07-26 02:40:00.0","요양병원(일반요양병원)","205799.162717309","449285.820248663","요양병원(일반요양병원)","6","42","147","3010.69","308 306 302 301 122 120 106 105 104 102 101","내과, 신경과, 외과, 정형외과, 신경외과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방재활의학과, 침구과","","","","0","0","","","0",""
"3040000","PHMA220183040033021200001","20120816","","01","영업/정상","13","영업중","","","","","02-464-2700","","","서울특별시 광진구 자양동 24-9 B1~2, 2~7층","서울특별시 광진구 동일로 92-1, B1~2, 2~7층 (자양동)","05071","서울프라임병원","2022-02-15 13:28:12","U","2022-02-17 02:40:00.0","병원","205558.67706739","448728.056778367","병원","12","20","59","2428.93","122 116 111 106 105 101","내과, 정형외과, 신경외과, 소아청소년과, 영상의학과, 가정의학과","","","","0","0","","","0",""
"3040000","PHMA220193040033021200001","20190701","","01","영업/정상","13","영업중","","","","","02-456-8898","","","서울특별시 광진구 자양동 685번지","서울특별시 광진구 자양로 38, 편안한요양병원 (자양동)","05112","편안한요양병원","2022-06-24 17:33:08","U","2021-12-05 22:06:00.0","요양병원(일반요양병원)","207574.350933065","447709.275315842","","","","","","","","","","","","","","","",""
"3040000","PHMA220203040033021200001","20201228","","01","영업/정상","13","영업중","","","","","02-454-7582","","","서울특별시 광진구 구의동 252-16 웰츠타워","서울특별시 광진구 자양로 116, 301~307호,310~312호 (구의동, 웰츠타워)","05043","오석한방병원","2022-12-05 15:32:35","U","2021-11-02 00:07:00.0","한방병원","207342.766106556","448444.754635481","","","","","","","","","","","","","","","",""
"3040000","PHMA220213040033021200001","20211028","","01","영업/정상","13","영업중","","","","","02-465-6575","","","서울특별시 광진구 자양동 25-2 생생한방병원","서울특별시 광진구 동일로 82-1, 생생한방병원 지하1~5층 (자양동)","05079","경희생생한방병원","2022-12-05 17:36:35","U","2021-11-02 00:07:00.0","한방병원","205507.103014693","448633.824455964","","","","","","","","","","","","","","","",""
