"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","주야과정","계열명","학과명","적재일시"
"각종학교(중)","사립","7134155","선화예술중학교","Sunhwa Arts Middle School","서울특별시성동광진교육지원청","04991","서울특별시 광진구 천호대로 664","/ 선화예술중고등학교 (능동)","02-2204-1100","https://sunhwaarts.sen.ms.kr","02-453-4641","남여공학","","N","일반계","","전기","주간","19731201","19730705","B10","서울특별시교육청","서울특별시","","","","20230326"
"중학교","공립","7134140","자양중학교","Jayang Middle School","서울특별시성동광진교육지원청","05069","서울특별시 광진구 뚝섬로41길 33","(자양동/서울자양중학교)","02-446-0365","http://jayang.sen.ms.kr","02-458-7047","남여공학","","N","일반계","","전기","주간","19840301","19840301","B10","서울특별시교육청","서울특별시","","","","20230326"
"중학교","공립","7134139","용곡중학교","Yong-gok Middle School","서울특별시성동광진교육지원청","04940","서울특별시 광진구 용마산로22길 76","(중곡동/용곡중학교)","02-452-2622","http://yonggok.sen.ms.kr/index.do","02-458-8566","남여공학","","N","일반계","","전기","주간","19821209","19830504","B10","서울특별시교육청","서울특별시","","","","20230326"
"중학교","공립","7134137","양진중학교","Yangjin Middle School","서울특별시성동광진교육지원청","04982","서울특별시 광진구 워커힐로 32","/ 양진중학교","02-2049-1200","http://www.yangjin.ms.kr","02-2049-1208/1220","남여공학","","N","해당없음","","전기","주간","20051229","20060514","B10","서울특별시교육청","서울특별시","","","","20230326"
"중학교","공립","7134136","신양중학교","Shinyang Middle School","서울특별시성동광진교육지원청","05087","서울특별시 광진구 자양강변길 73","/ 신양중학교 (자양동)","02-461-1070","http://shinyang.ms.kr","02-469-8386","남여공학","","N","일반계","","전기","주간","19840109","19840509","B10","서울특별시교육청","서울특별시","","","","20230326"
"중학교","사립","7134130","대원국제중학교","Daewon International Middle School","서울특별시성동광진교육지원청","04939","서울특별시 광진구 용마산로22길 26","/ 대원국제중학교 (중곡동)","02-2204-1592","http://daewon.ms.kr","02-2204-1583","남여공학","","N","일반계","","전기","주간","19770520","19770520","B10","서울특별시교육청","서울특별시","","","","20230326"
"중학교","사립","7134128","동국대학교사범대학부속여자중학교","Girls Middle School Attached to College of Education/ Dongguk University","서울특별시성동광진교육지원청","05038","서울특별시 광진구 광나루로36길 47","/ 동국대학교사범대학부속여자중학교 (구의동)","02-6948-2280-2","http://donggukgirls.sen.ms.kr","02-6948-2288","여","","N","일반계","","전기","주간","19300620","19300620","B10","서울특별시교육청","서울특별시","","","","20230326"
"중학교","공립","7134127","구의중학교","Guui Middle School","서울특별시성동광진교육지원청","05022","서울특별시 광진구 광나루로30길 80","(화양동)","02-447-4798","http://www.guui.ms.kr","02-455-5061","남여공학","","N","일반계","","전기","주간","19840430","19840430","B10","서울특별시교육청","서울특별시","","","","20230326"
"중학교","공립","7134125","광진중학교","Gwangjin Middle School","서울특별시성동광진교육지원청","05114","서울특별시 광진구 뚝섬로64길 45","(자양동/광진중학교)","02-447-2886","http://gwangjin.ms.kr","02-3436-1508","남여공학","","N","일반계","","전기","주간","19790901","19791010","B10","서울특별시교육청","서울특별시","","","","20230326"
"중학교","공립","7134124","광장중학교","Gwangjang Middle School","서울특별시성동광진교육지원청","04966","서울특별시 광진구 광장로1길 1","/ 광장중학교 (광장동)","02-452-0745","http://www.gwangjang.ms.kr","02-444-5692","남여공학","","N","일반계","","전기","주간","19821209","19830406","B10","서울특별시교육청","서울특별시","","","","20230326"
"중학교","공립","7134123","광양중학교","Kwangyang Middle School","서울특별시성동광진교육지원청","05104","서울특별시 광진구 자양로3길 7","(자양동)","02-452-6922","http://www.kwangyang.ms.kr","02-458-7067","남여공학","","N","일반계","","전기","주간","19860129","19860418","B10","서울특별시교육청","서울특별시","","","","20230326"
"중학교","공립","7134122","광남중학교","Gwangnam Middle School","서울특별시성동광진교육지원청","04973","서울특별시 광진구 아차산로70길 17-62","/ 광남중학교 (광장동)","02-456-8792","http://www.gwangnam.ms.kr","02-455-0161/453-2818","남여공학","","N","일반계","","전기","주간","19930116","19930504","B10","서울특별시교육청","서울특별시","","","","20230326"
"중학교","사립","7134119","건국대학교사범대학부속중학교","Middle School Attached To College of Education KONKUK University","서울특별시성동광진교육지원청","05025","서울특별시 광진구 자양로 145-1","건국대학교사범대학부속중학교","02-457-0318","http://www.konkuk.ms.kr","02-458-7427","남여공학","","N","일반계","","전기","주간","19671230","19680515","B10","서울특별시교육청","서울특별시","","","","20230326"
"초등학교","사립","7134117","세종초등학교","Sejong Elementary School","서울특별시성동광진교육지원청","05006","서울특별시 광진구 군자로 114","/ 세종초등학교 (군자동)","02-466-0045","http://sje.sejong.ac.kr","02-499-3513","남여공학","","N","일반계","","전기","주간","19621004","19621004","B10","서울특별시교육청","서울특별시","","","","20230326"
"초등학교","사립","7134116","성동초등학교","Sungdong Elementary School","서울특별시성동광진교육지원청","05114","서울특별시 광진구 자양로4길 63","(자양동)","02-447-2642","http://www.sungdong.es.kr","02-454-4322","남여공학","","N","일반계","","전기","주간","19661216","19670320","B10","서울특별시교육청","서울특별시","","","","20230326"
"초등학교","공립","7134112","서울중마초등학교","Seoul Jungma Elementary School","서울특별시성동광진교육지원청","04907","서울특별시 광진구 동일로72길 43","(중곡동)","02-466-1007","http://www.jungma.es.kr","02-467-9296","남여공학","","N","일반계","","전기","주간","19821110","19821110","B10","서울특별시교육청","서울특별시","","","","20230326"
"초등학교","공립","7134111","서울중광초등학교","Seoul Junggwang Elementary School","서울특별시성동광진교육지원청","04908","서울특별시 광진구 긴고랑로13길 59","(중곡동/중광초등학교)","02-469-3340","www.jkschool.net","02-465-0936","남여공학","","N","일반계","","전기","주간","19980901","19980901","B10","서울특별시교육청","서울특별시","","","","20230326"
"초등학교","공립","7134110","서울장안초등학교","Seoul Jang-an Elementary School","서울특별시성동광진교육지원청","05004","서울특별시 광진구 군자로 74","(군자동)","02-469-5264","http://jangan.sen.es.kr","02-469-5266","남여공학","","N","일반계","","전기","주간","19550319","19550319","B10","서울특별시교육청","서울특별시","","","","20230326"
"초등학교","공립","7134109","서울자양초등학교","Seoul jayang Elementary School","서울특별시성동광진교육지원청","05054","서울특별시 광진구 아차산로44길 26","(자양동)","02-457-1468","http://jayang.sen.es.kr/","02-458-4393","남여공학","","N","일반계","","전기","주간","19451210","19451210","B10","서울특별시교육청","서울특별시","","","","20230326"
"초등학교","공립","7134107","서울용마초등학교","Seoul Yongma Elementary School","서울특별시성동광진교육지원청","04926","서울특별시 광진구 천호대로113길 10","(중곡동)","02-3436-4012","http://www.ymc.es.kr","02-3436-4018","남여공학","","N","일반계","","전기","주간","19720801","19721123","B10","서울특별시교육청","서울특별시","","","","20230326"
"초등학교","공립","7134105","서울용곡초등학교","Seoul Yong-gok Elementary School","서울특별시성동광진교육지원청","04940","서울특별시 광진구 용마산로22길 82","/ 서울용곡초등학교 (중곡동)","02-457-7225","yonggok.es.kr","02-454-4508","남여공학","","N","일반계","","전기","주간","19780213","19780504","B10","서울특별시교육청","서울특별시","","","","20230326"
"초등학교","공립","7134102","서울양진초등학교","Seoul Yangjin Elementary School","서울특별시성동광진교육지원청","04982","서울특별시 광진구 워커힐로 32","(광장동/양진초중학교)","02-454-9071","http://yjs.sen.es.kr","02-454-9957","남여공학","","N","해당없음","","전기","주간","20050301","20050506","B10","서울특별시교육청","서울특별시","","","","20230326"
"초등학교","공립","7134101","서울양남초등학교","Seoul Yangnam Elementary School","서울특별시성동광진교육지원청","05114","서울특별시 광진구 뚝섬로64길 71","/ (자양동/ 서울양남초등학교)","02-452-8189","http://s-yangnam.sen.es.kr","02-454-3690","남여공학","","N","일반계","","전기","주간","19831203","19840516","B10","서울특별시교육청","서울특별시","","","","20230326"
"초등학교","공립","7134100","서울신자초등학교","Seoul Sinja Elementary School","서울특별시성동광진교육지원청","05110","서울특별시 광진구 뚝섬로46길 64","/ 서울신자초등학교 (자양동)","02-450-5600","http://www.sinja.es.kr/","02-450-5678","남여공학","","N","일반계","","전기","주간","19821207","19830504","B10","서울특별시교육청","서울특별시","","","","20230326"
"초등학교","공립","7134099","서울신양초등학교","Seoul Sinyang Elementary School","서울특별시성동광진교육지원청","05090","서울특별시 광진구 능동로 42","/ 신양초등학교 (자양동)","02-2201-8081","http://sinyang.sen.es.kr","02-2201-8087","남여공학","","N","일반계","","전기","주간","19790411","19790411","B10","서울특별시교육청","서울특별시","","","","20230326"
"초등학교","공립","7134097","서울성자초등학교","Seoul Seongja Elementary School","서울특별시성동광진교육지원청","05102","서울특별시 광진구 뚝섬로56길 7","/ 서울성자초등학교 (자양동)","02-2161-6500","http://www.seongja.es.kr","02-453-8724","남여공학","","N","일반계","","전기","주간","19840518","19840518","B10","서울특별시교육청","서울특별시","","","","20230326"
"초등학교","공립","7134091","서울동자초등학교","Seoul Dongja Elementary School","서울특별시성동광진교육지원청","05069","서울특별시 광진구 뚝섬로 561","(자양동)","02-444-1349","http://www.dongja.es.kr","02-457-8334","남여공학","","N","일반계","","전기","주간","19841205","19841205","B10","서울특별시교육청","서울특별시","","","","20230326"
"초등학교","공립","7134090","서울동의초등학교","Seoul Dongeui Elementary School","서울특별시성동광진교육지원청","04948","서울특별시 광진구 영화사로 111","(구의동/서울동의초등학교)","02-447-2706","http://dongeui.sen.es.kr","02-456-7976","남여공학","","N","일반계","","전기","주간","19870709","19871026","B10","서울특별시교육청","서울특별시","","","","20230326"
"초등학교","공립","7134085","서울구의초등학교","Seoul Guui Elementary School","서울특별시성동광진교육지원청","05022","서울특별시 광진구 광나루로30길 49","/ 서울구의초등학교 (화양동)","02-444-6490","http://guui.sen.es.kr","02-444-5872","남여공학","","N","일반계","","전기","주간","19811226","19820422","B10","서울특별시교육청","서울특별시","","","","20230326"
"초등학교","공립","7134084","서울구남초등학교","Seoul Gunam Elementary School","서울특별시성동광진교육지원청","05048","서울특별시 광진구 구의강변로 69","/ 서울구남초등학교 (구의동)","02-453-8921","http://www.gunam.es.kr","02-3436-7518","남여공학","","N","일반계","","전기","주간","19980301","19980605","B10","서울특별시교육청","서울특별시","","","","20230326"
"초등학교","공립","7134083","서울광진초등학교","Seoul Gwangjin Elementary School","서울특별시성동광진교육지원청","04980","서울특별시 광진구 자양로40길 41","/ 서울광진초등학교 (구의동)","02-458-4693","http://www.gwangjin.es.kr","02-458-6852","남여공학","","N","일반계","","전기","주간","20030901","20030901","B10","서울특별시교육청","서울특별시","","","","20230326"
"초등학교","공립","7134082","서울광장초등학교","Seoul Gwangjang Elementary School","서울특별시성동광진교육지원청","04966","서울특별시 광진구 광장로1길 27","/ 서울광장초등학교 (광장동)","02-2139-1501","http://kwangjang.sen.es.kr","02-2139-1605","남여공학","","N","일반계","","전기","주간","19461110","19461110","B10","서울특별시교육청","서울특별시","","","","20230326"
"초등학교","공립","7134081","서울광남초등학교","Seoul Gwangnam Elementary School","서울특별시성동광진교육지원청","04973","서울특별시 광진구 아차산로70길 35","(광장동)","02-455-3763","http://seoulgwangnam.es.kr/","02-457-4946","남여공학","","N","일반계","","전기","주간","19900120","19900607","B10","서울특별시교육청","서울특별시","","","","20230326"
"초등학교","사립","7134077","경복초등학교","Kyungbok Elementary School","서울특별시성동광진교육지원청","04991","서울특별시 광진구 천호대로130길 58","/ 경복초등학교 (능동)","02-2204-1200","http://www.kbes.kr","02-454-5086","남여공학","","N","일반계","","전기","주간","19650302","19650302","B10","서울특별시교육청","서울특별시","","","","20230326"
"외국인학교","사립","7010851","재한몽골학교","International Mongolia School","서울특별시교육청","04966","서울특별시 광진구 광장로1가길 13-10","(광장동)","02-3437-7078","http://mongolschool.org/","02-458-2980","남여공학","","N","해당없음","","전기","주야간","20050302","20050302","B10","서울특별시교육청","서울특별시","","","","20230326"
"외국인학교","사립","7010848","한국켄트외국인학교","Korea Kent Foreign School","서울특별시교육청","04993","서울특별시 광진구 자양로35길 13","(구의동)","02-2201-7091","http://www.kkfs.org","02-2201-7090","남","","N","해당없음","","전기","주간","19990827","19990827","B10","서울특별시교육청","서울특별시","","","","20230326"
"고등학교","사립","7010746","동국대학교사범대학부속여자고등학교","Girls High School Attached To College Of Education/ Dongguk University","서울특별시교육청","05038","서울특별시 광진구 광나루로36길 47","/ 동국대부속여고 (구의동)","02-2049-1577","http://donggukgirls.hs.kr","02-2049-1588","여","일반고","N","일반계","","후기","주간","19300620","19300620","B10","서울특별시교육청","서울특별시","주간","일반계","공통과정","20230326"
"고등학교","사립","7010746","동국대학교사범대학부속여자고등학교","Girls High School Attached To College Of Education/ Dongguk University","서울특별시교육청","05038","서울특별시 광진구 광나루로36길 47","/ 동국대부속여고 (구의동)","02-2049-1577","http://donggukgirls.hs.kr","02-2049-1588","여","일반고","N","일반계","","후기","주간","19300620","19300620","B10","서울특별시교육청","서울특별시","주간","일반계","7차일반","20230326"
"고등학교","사립","7010746","동국대학교사범대학부속여자고등학교","Girls High School Attached To College Of Education/ Dongguk University","서울특별시교육청","05038","서울특별시 광진구 광나루로36길 47","/ 동국대부속여고 (구의동)","02-2049-1577","http://donggukgirls.hs.kr","02-2049-1588","여","일반고","N","일반계","","후기","주간","19300620","19300620","B10","서울특별시교육청","서울특별시","주간","일반계","자연과정","20230326"
"고등학교","사립","7010746","동국대학교사범대학부속여자고등학교","Girls High School Attached To College Of Education/ Dongguk University","서울특별시교육청","05038","서울특별시 광진구 광나루로36길 47","/ 동국대부속여고 (구의동)","02-2049-1577","http://donggukgirls.hs.kr","02-2049-1588","여","일반고","N","일반계","","후기","주간","19300620","19300620","B10","서울특별시교육청","서울특별시","주간","일반계","인문사회과정","20230326"
"고등학교","사립","7010746","동국대학교사범대학부속여자고등학교","Girls High School Attached To College Of Education/ Dongguk University","서울특별시교육청","05038","서울특별시 광진구 광나루로36길 47","/ 동국대부속여고 (구의동)","02-2049-1577","http://donggukgirls.hs.kr","02-2049-1588","여","일반고","N","일반계","","후기","주간","19300620","19300620","B10","서울특별시교육청","서울특별시","주간","일반계","예체능과정","20230326"
"특수학교","공립","7010519","서울광진학교","Seoul Gwangjin School","서울특별시교육청","05048","서울특별시 광진구 강변역로 18","/ 서울광진학교 (구의동/ 서울광진학교)","02-6715-9001","http://kjin.sc.kr/","02-6715-9003","남여공학","","N","해당없음","","전기","주간","19990115","19990115","B10","서울특별시교육청","서울특별시","","","","20230326"
"고등학교","사립","7010192","선화예술고등학교","Sunhwa Arts High School","서울특별시교육청","04991","서울특별시 광진구 천호대로 664","(능동)","02-2204-1303","http://www.sunhwa.org","02-458-4582","남여공학","특목고","N","일반계","예술계열","전기","주간","19741201","19760705","B10","서울특별시교육청","서울특별시","주간","예술계","음악과","20230326"
"고등학교","사립","7010192","선화예술고등학교","Sunhwa Arts High School","서울특별시교육청","04991","서울특별시 광진구 천호대로 664","(능동)","02-2204-1303","http://www.sunhwa.org","02-458-4582","남여공학","특목고","N","일반계","예술계열","전기","주간","19741201","19760705","B10","서울특별시교육청","서울특별시","주간","예술계","미술과","20230326"
"고등학교","사립","7010192","선화예술고등학교","Sunhwa Arts High School","서울특별시교육청","04991","서울특별시 광진구 천호대로 664","(능동)","02-2204-1303","http://www.sunhwa.org","02-458-4582","남여공학","특목고","N","일반계","예술계열","전기","주간","19741201","19760705","B10","서울특별시교육청","서울특별시","주간","예술계","무용과","20230326"
