행정동,사고건수,신호등수,무인교통단속카메라수량,CCTV수량,범죄율평균,어린이보호구역,정원수,계,인구수(남),인구수(여),지역(구성비),구성비(남),구성비(여),성비,세대수,세대당인구,대중교통승객수,공영주차장수,공영주차장주차면수,인구밀도 (명/㎢),총생활인구수,도로
광장동,284,8.0,3,264,3.6,9.0,472,34168,16524,17644,10.13,4.9,5.23,93.65,11814,2.89,551626.0,3.0,28.0,14377,36052.58589041667,244206.9
구의1동,204,3.0,2,281,1.4,3.0,435,23387,11143,12244,6.93,3.3,3.63,91.01,13077,1.79,897290.0,3.0,378.0,42945,24941.159032651514,97207.9
구의2동,204,4.0,3,330,1.4,9.0,540,26043,12511,13532,7.72,3.71,4.01,92.45,11517,2.26,665421.0,3.0,113.0,19117,21648.997242222224,240461.7
구의3동,204,16.0,8,275,3.6,6.0,478,28211,13309,14902,8.36,3.94,4.42,89.31,12079,2.34,1096968.0,6.0,524.0,27882,30926.011957222225,173951.0
군자동,273,5.0,6,308,3.0,8.0,368,19425,9603,9822,5.76,2.85,2.91,97.77,11400,1.7,256677.0,3.0,125.0,29086,22148.570882222222,170569.1
능동,134,0.0,4,209,3.0,2.0,195,11180,5134,6046,3.31,1.52,1.79,84.92,6406,1.75,1472471.0,3.0,179.0,10510,16506.987983611114,127697.3
자양1동,206,10.0,1,234,2.0,6.0,488,21862,10646,11216,6.48,3.16,3.32,94.92,11913,1.84,175664.0,1.0,24.0,39840,25014.111149027776,90290.5
자양2동,206,8.0,3,287,2.4,8.0,401,23946,11612,12334,7.1,3.44,3.66,94.15,10887,2.2,189395.0,2.0,570.0,14436,21081.83350625,250035.2
자양3동,206,6.0,1,216,2.4,7.0,627,27553,13166,14387,8.17,3.9,4.26,91.51,11009,2.5,180485.0,3.0,196.0,23215,23498.113722777776,180581.0
자양4동,206,2.0,2,287,2.6,3.0,350,17926,8915,9011,5.31,2.64,2.67,98.93,10209,1.76,453510.0,3.0,225.0,18328,25092.450374722222,173635.6
중곡1동,139,6.0,4,198,1.4,0.0,163,15299,7322,7977,4.53,2.17,2.36,91.79,8504,1.8,123925.0,1.0,21.0,25263,15085.869390972222,88318.3
중곡2동,139,3.0,1,251,1.2,3.0,473,20999,9903,11096,6.22,2.93,3.29,89.25,10656,1.97,166033.0,4.0,179.0,38793,18021.11964083333,76542.5
중곡3동,139,5.0,1,288,1.8,10.0,596,15945,7897,8048,4.73,2.34,2.39,98.12,8513,1.87,454212.0,3.0,331.0,26962,15156.45346972222,88318.32
중곡4동,139,11.0,2,356,1.6,2.0,548,28035,13715,14320,8.31,4.06,4.24,95.78,13122,2.14,101465.0,9.0,211.0,12244,25392.536160555555,335609.6
화양동,457,2.0,4,307,3.0,4.0,208,23437,11141,12296,6.95,3.3,3.64,90.61,18185,1.29,1820132.0,4.0,121.0,23347,43036.61886194445,165625.7
