행정동,위도,경도
광장동,37.5442,127.0992
광장동,37.5442,127.0992
광장동,37.5442,127.0992
구의2동,37.5475,127.0981
구의2동,37.5544,127.0972
구의3동,37.5413,127.0943
자양4동,37.5393,127.0682
중곡4동,37.5642,127.0964
중곡4동,37.5652,127.0974
중곡4동,37.5652,127.0974
중곡4동,37.5652,127.0974
중곡4동,37.5661,127.0984
중곡4동,37.5661,127.0984
중곡4동,37.5661,127.0984
중곡4동,37.5666,127.0987
중곡4동,37.5666,127.0987
중곡4동,37.5666,127.0987
중곡4동,37.5531,127.0998
중곡4동,37.5531,127.0998
중곡4동,37.5531,127.0998
중곡4동,37.5527,127.0997
중곡4동,37.5527,127.0997
중곡4동,37.5527,127.0997
중곡4동,37.5523,127.1007
중곡4동,37.5523,127.1007
중곡4동,37.5523,127.1007
중곡4동,37.5523,127.1007
중곡4동,37.5627,127.1006
중곡4동,37.5627,127.1006
중곡4동,37.5627,127.1006
광장동,37.5498,127.1013
광장동,37.546,127.1039
광장동,37.546,127.1039
광장동,37.546,127.1039
광장동,37.546,127.1039
광장동,37.5482,127.1006
광장동,37.5482,127.1006
광장동,37.5482,127.1006
광장동,37.5482,127.1006
광장동,37.5463,127.0987
광장동,37.5463,127.0987
광장동,37.5466,127.099
광장동,37.5466,127.099
광장동,37.5493,127.1014
광장동,37.5493,127.1014
광장동,37.5493,127.1014
광장동,37.5493,127.1014
광장동,37.5498,127.1013
광장동,37.5498,127.1013
광장동,37.5442,127.0992
광장동,37.5444,127.0997
광장동,37.5444,127.0997
광장동,37.5447,127.0993
광장동,37.5447,127.0993
광장동,37.5447,127.0993
광장동,37.5458,127.1007
광장동,37.5458,127.1007
광장동,37.5491,127.1074
광장동,37.5491,127.1074
광장동,37.5491,127.1074
광장동,37.5491,127.1074
광장동,37.5496,127.0991
광장동,37.5496,127.0991
광장동,37.5523,127.1038
광장동,37.5523,127.1038
광장동,37.5523,127.1038
광장동,37.5523,127.1038
광장동,37.5523,127.1013
광장동,37.5523,127.1013
광장동,37.5523,127.1013
광장동,37.5523,127.1013
구의2동,37.5484,127.0922
구의2동,37.5484,127.0922
구의2동,37.5494,127.0947
구의2동,37.5494,127.0947
구의2동,37.5482,127.0964
구의2동,37.5482,127.0964
구의2동,37.548,127.097
구의2동,37.548,127.097
구의2동,37.548,127.0982
구의2동,37.548,127.0982
구의2동,37.5476,127.0983
구의2동,37.5476,127.0983
구의2동,37.5464,127.0982
구의2동,37.5464,127.0982
구의2동,37.5554,127.0952
구의2동,37.5554,127.0952
구의2동,37.5459,127.0885
구의2동,37.5459,127.0885
구의2동,37.5459,127.0885
구의2동,37.5459,127.0885
구의2동,37.5459,127.0885
구의2동,37.5523,127.0998
구의2동,37.5523,127.0998
구의2동,37.5523,127.0998
구의2동,37.5523,127.0998
구의2동,37.5519,127.1008
구의2동,37.5519,127.1008
구의2동,37.5519,127.1008
구의2동,37.5519,127.1008
구의2동,37.5554,127.0985
구의2동,37.5554,127.0985
구의2동,37.5554,127.0985
구의2동,37.5554,127.0985
구의2동,37.5533,127.1012
구의2동,37.5533,127.1012
구의2동,37.5533,127.1012
구의2동,37.5533,127.1012
구의2동,37.5494,127.0948
구의2동,37.5494,127.0948
구의2동,37.5494,127.0948
구의2동,37.5494,127.0948
구의3동,37.5413,127.0943
구의3동,37.5381,127.0924
구의3동,37.5381,127.0924
구의3동,37.5407,127.0907
구의3동,37.5407,127.0907
구의3동,37.543,127.0911
구의3동,37.543,127.0911
구의3동,37.5368,127.0948
구의3동,37.5368,127.0948
구의3동,37.5374,127.0945
구의3동,37.5374,127.0945
구의3동,37.5367,127.0903
구의3동,37.5367,127.0903
구의3동,37.537,127.0946
구의3동,37.5429,127.0911
구의3동,37.5429,127.0911
군자동,37.5561,127.0737
군자동,37.5561,127.0737
군자동,37.5544,127.073
군자동,37.5544,127.073
군자동,37.5544,127.073
능동,37.5525,127.083
능동,37.5525,127.083
능동,37.5525,127.083
능동,37.5525,127.083
능동,37.5536,127.0793
능동,37.5536,127.0793
능동,37.5538,127.0794
능동,37.5538,127.0794
능동,37.5493,127.0824
능동,37.5493,127.0824
능동,37.5493,127.0824
자양1동,37.5344,127.0822
자양1동,37.5344,127.0822
자양1동,37.5359,127.0777
자양1동,37.5359,127.0777
자양1동,37.5387,127.0817
자양1동,37.5387,127.0817
자양1동,37.5333,127.0781
자양1동,37.5333,127.0781
자양1동,37.5331,127.0784
자양1동,37.5331,127.0784
자양1동,37.5331,127.0784
자양1동,37.5331,127.0784
자양1동,37.5358,127.0777
자양1동,37.5358,127.0777
자양2동,37.5322,127.0878
자양2동,37.5322,127.0878
자양2동,37.5302,127.0823
자양2동,37.5302,127.0823
자양2동,37.5302,127.0823
자양2동,37.5302,127.0823
자양2동,37.5309,127.0886
자양2동,37.5309,127.0886
자양2동,37.5309,127.0886
자양2동,37.532,127.0878
자양2동,37.532,127.0878
자양3동,37.5337,127.0699
