점포구분명,상세영업상태명,사업장명,좌표정보(X),좌표정보(Y)
영화상영관,영업중,CGV강변11 STAR 2관,208394.416382167,448165.279999905
영화상영관,영업중,CGV강변11 STAR 3관,208394.416382167,448165.279999905
영화상영관,영업중,CGV강변11 4DX 1관,208394.416382167,448165.279999905
영화상영관,영업중,CGV강변11 제4관[CGV 아트하우스],208394.416382167,448165.279999905
영화상영관,영업중,CGV강변11 제5관,208394.416382167,448165.279999905
영화상영관,영업중,CGV강변11 제6관,208394.416382167,448165.279999905
영화상영관,영업중,CGV강변11 제7관,208394.416382167,448165.279999905
영화상영관,영업중,CGV강변11 제8관,208394.416382167,448165.279999905
영화상영관,영업중,CGV강변11 제9관,208394.416382167,448165.279999905
영화상영관,영업중,CGV강변11 제10관,208394.416382167,448165.279999905
영화상영관,영업중,CGV강변 11 CINE & FORET,208394.416382167,448165.279999905
영화상영관,영업중,롯데시네마 건대입구관 (제4관),206349.675048285,448396.939704285
영화상영관,영업중,롯데시네마 건대입구관 (제5관),206349.675048285,448396.939704285
영화상영관,영업중,롯데시네마 건대입구관 (제6관),206349.675048285,448396.939704285
영화상영관,영업중,롯데시네마 건대입구관 (제3관),206349.675048285,448396.939704285
영화상영관,영업중,롯데시네마 건대입구관 (제2관),206349.675048285,448396.939704285
영화상영관,영업중,롯데시네마 건대입구관 (제1관),206349.675048285,448396.939704285
영화상영관,영업중,롯데시네마 건대입구관 (제7관),206349.675048285,448396.939704285
영화상영관,영업중,롯데시네마 건대입구관 (제8관),206349.675048285,448396.939704285
영화상영관,영업중,롯데시네마 건대입구관 (샤롯데관),206349.675048285,448396.939704285
영화상영관,영업중,롯데시네마 건대입구관 (제9관),206349.675048285,448396.939704285
영화상영관,영업중,롯데시네마 건대입구관 (제10관),206349.675048285,448396.939704285
영화상영관,영업중,메가박스 군자9,206852.360928556,450393.660973724
영화상영관,영업중,메가박스 군자1,206852.360928556,450393.660973724
영화상영관,영업중,메가박스 군자7,206852.360928556,450393.660973724
영화상영관,영업중,메가박스 군자8,206852.360928556,450393.660973724
영화상영관,영업중,메가박스 군자5,206852.360928556,450393.660973724
영화상영관,영업중,메가박스 군자3,206852.360928556,450393.660973724
영화상영관,영업중,메가박스 군자4,206852.360928556,450393.660973724
영화상영관,영업중,메가박스 군자10,206852.360928556,450393.660973724
영화상영관,영업중,메가박스 군자6,206852.360928556,450393.660973724
영화상영관,영업중,KU시네마테크,206445.881091692,448922.881688102
영화상영관,영업장폐쇄,쇼앤톡카페시네마,206802.967181457,450403.56464782
영화상영관,영업중,CGV 건대입구 제1관,205845.946723741,448616.847693458
영화상영관,영업중,CGV 건대입구 제2관,205845.946723741,448616.847693458
영화상영관,영업중,CGV 건대입구 제3관,205845.946723741,448616.847693458
영화상영관,영업중,CGV 건대입구 제4관,205845.946723741,448616.847693458
영화상영관,영업중,CGV 건대입구 제5관,205845.946723741,448616.847693458
