학교명,도로명주소,행정동,위도,경도
세종초등학교,서울특별시 광진구 군자로 114,군자동,37.5506778,127.074103
성동초등학교,서울특별시 광진구 자양로4길 63,자양2동,37.5329177,127.089506
서울중마초등학교,서울특별시 광진구 동일로72길 43,중곡3동,37.5658649,127.079788
서울중광초등학교,서울특별시 광진구 긴고랑로13길 59,중곡3동,37.5651063,127.082413
서울장안초등학교,서울특별시 광진구 군자로 74,군자동,37.5499313,127.071975
서울자양초등학교,서울특별시 광진구 아차산로44길 26,자양1동,37.5368171,127.07952
서울용마초등학교,서울특별시 광진구 천호대로113길 10,중곡2동,37.5580143,127.08416
서울용곡초등학교,서울특별시 광진구 용마산로22길 82,중곡4동,37.5668228,127.088539
서울양진초등학교,서울특별시 광진구 워커힐로 32,광장동,37.5445067,127.098222
서울양남초등학교,서울특별시 광진구 뚝섬로64길 71,자양2동,37.5307282,127.089707
서울신자초등학교,서울특별시 광진구 뚝섬로46길 64,자양2동,37.5301164,127.075169
서울신양초등학교,서울특별시 광진구 능동로 42,자양3동,37.53458,127.069165
서울성자초등학교,서울특별시 광진구 뚝섬로56길 7,자양2동,37.5311564,127.083078
서울동자초등학교,서울특별시 광진구 뚝섬로 561,자양3동,37.5347135,127.07196
서울동의초등학교,서울특별시 광진구 영화사로 111,구의2동,37.5534351,127.098742
서울구의초등학교,서울특별시 광진구 광나루로30길 49,화양동,37.5427357,127.080862
서울구남초등학교,서울특별시 광진구 구의강변로 69,구의3동,37.5368079,127.092272
서울광진초등학교,서울특별시 광진구 자양로40길 41,구의2동,37.5475846,127.09121
서울광장초등학교,서울특별시 광진구 광장로1길 27,광장동,37.5481531,127.101327
서울광남초등학교,서울특별시 광진구 아차산로70길 35,광장동,37.5408014,127.10091
경복초등학교,서울특별시 광진구 천호대로130길 58,능동,37.5502364,127.08732
