점포구분명,학교명,도로명주소
학교,선화예술중학교,서울특별시 광진구 천호대로 664
학교,자양중학교,서울특별시 광진구 뚝섬로41길 33
학교,용곡중학교,서울특별시 광진구 용마산로22길 76
학교,양진중학교,서울특별시 광진구 워커힐로 32
학교,신양중학교,서울특별시 광진구 자양강변길 73
학교,대원국제중학교,서울특별시 광진구 용마산로22길 26
학교,동국대학교사범대학부속여자중학교,서울특별시 광진구 광나루로36길 47
학교,구의중학교,서울특별시 광진구 광나루로30길 80
학교,광진중학교,서울특별시 광진구 뚝섬로64길 45
학교,광장중학교,서울특별시 광진구 광장로1길 1
학교,광양중학교,서울특별시 광진구 자양로3길 7
학교,광남중학교,서울특별시 광진구 아차산로70길 17-62
학교,건국대학교사범대학부속중학교,서울특별시 광진구 자양로 145-1
학교,세종초등학교,서울특별시 광진구 군자로 114
학교,성동초등학교,서울특별시 광진구 자양로4길 63
학교,서울중마초등학교,서울특별시 광진구 동일로72길 43
학교,서울중광초등학교,서울특별시 광진구 긴고랑로13길 59
학교,서울장안초등학교,서울특별시 광진구 군자로 74
학교,서울자양초등학교,서울특별시 광진구 아차산로44길 26
학교,서울용마초등학교,서울특별시 광진구 천호대로113길 10
학교,서울용곡초등학교,서울특별시 광진구 용마산로22길 82
학교,서울양진초등학교,서울특별시 광진구 워커힐로 32
학교,서울양남초등학교,서울특별시 광진구 뚝섬로64길 71
학교,서울신자초등학교,서울특별시 광진구 뚝섬로46길 64
학교,서울신양초등학교,서울특별시 광진구 능동로 42
학교,서울성자초등학교,서울특별시 광진구 뚝섬로56길 7
학교,서울동자초등학교,서울특별시 광진구 뚝섬로 561
학교,서울동의초등학교,서울특별시 광진구 영화사로 111
학교,서울구의초등학교,서울특별시 광진구 광나루로30길 49
학교,서울구남초등학교,서울특별시 광진구 구의강변로 69
학교,서울광진초등학교,서울특별시 광진구 자양로40길 41
학교,서울광장초등학교,서울특별시 광진구 광장로1길 27
학교,서울광남초등학교,서울특별시 광진구 아차산로70길 35
학교,경복초등학교,서울특별시 광진구 천호대로130길 58
학교,재한몽골학교,서울특별시 광진구 광장로1가길 13-10
학교,한국켄트외국인학교,서울특별시 광진구 자양로35길 13
학교,동국대학교사범대학부속여자고등학교,서울특별시 광진구 광나루로36길 47
학교,동국대학교사범대학부속여자고등학교,서울특별시 광진구 광나루로36길 47
학교,동국대학교사범대학부속여자고등학교,서울특별시 광진구 광나루로36길 47
학교,동국대학교사범대학부속여자고등학교,서울특별시 광진구 광나루로36길 47
학교,동국대학교사범대학부속여자고등학교,서울특별시 광진구 광나루로36길 47
학교,서울광진학교,서울특별시 광진구 강변역로 18
학교,선화예술고등학교,서울특별시 광진구 천호대로 664
학교,선화예술고등학교,서울특별시 광진구 천호대로 664
학교,선화예술고등학교,서울특별시 광진구 천호대로 664
학교,대원외국어고등학교,서울특별시 광진구 용마산로22길 26
학교,대원외국어고등학교,서울특별시 광진구 용마산로22길 26
학교,대원외국어고등학교,서울특별시 광진구 용마산로22길 26
학교,대원외국어고등학교,서울특별시 광진구 용마산로22길 26
학교,대원외국어고등학교,서울특별시 광진구 용마산로22길 26
학교,대원외국어고등학교,서울특별시 광진구 용마산로22길 26
학교,대원외국어고등학교,서울특별시 광진구 용마산로22길 26
학교,대원외국어고등학교,서울특별시 광진구 용마산로22길 26
학교,대원외국어고등학교,서울특별시 광진구 용마산로22길 26
학교,대원외국어고등학교,서울특별시 광진구 용마산로22길 26
학교,대원외국어고등학교,서울특별시 광진구 용마산로22길 26
학교,대원외국어고등학교,서울특별시 광진구 용마산로22길 26
학교,대원외국어고등학교,서울특별시 광진구 용마산로22길 26
학교,대원외국어고등학교,서울특별시 광진구 용마산로22길 26
학교,대원외국어고등학교,서울특별시 광진구 용마산로22길 26
학교,대원외국어고등학교,서울특별시 광진구 용마산로22길 26
학교,대원외국어고등학교,서울특별시 광진구 용마산로22길 26
학교,대원외국어고등학교,서울특별시 광진구 용마산로22길 26
학교,대원외국어고등학교,서울특별시 광진구 용마산로22길 26
학교,대원외국어고등학교,서울특별시 광진구 용마산로22길 26
학교,대원여자고등학교,서울특별시 광진구 용마산로22길 26
학교,대원여자고등학교,서울특별시 광진구 용마산로22길 26
학교,대원여자고등학교,서울특별시 광진구 용마산로22길 26
학교,대원여자고등학교,서울특별시 광진구 용마산로22길 26
