점포구분명,상세영업상태명,사업장명,좌표정보(X),좌표정보(Y)
휴게음식점,영업,동부다방,207622.582505948,448374.803680361
휴게음식점,영업,꽃빙,208201.993320839,447967.299542306
휴게음식점,영업,킹스커피,206170.436231071,448717.665411961
휴게음식점,영업,토마토,208394.416382167,448165.279999905
휴게음식점,영업,할리스커피(테크노마트점),208394.416382167,448165.279999905
휴게음식점,영업,마마돈까스,208394.416382167,448165.279999905
휴게음식점,영업,카페베리(cafe berry),208394.416382167,448165.279999905
휴게음식점,영업,롯데리아강변테크노점,208394.416382167,448165.279999905
휴게음식점,영업,엠브로시아,208394.416382167,448165.279999905
휴게음식점,영업,버거하우스,208394.416382167,448165.279999905
휴게음식점,영업,영스낵,208394.416382167,448165.279999905
휴게음식점,영업,크리티(Kriti),208394.416382167,448165.279999905
휴게음식점,영업,아이씨비와이,208394.416382167,448165.279999905
휴게음식점,영업,디핀다트아이스크림,208394.416382167,448165.279999905
휴게음식점,영업,롯데리아(강변씨네마점),208394.416382167,448165.279999905
휴게음식점,영업,미니스톱구의명성점,207444.816428688,448614.949849754
휴게음식점,영업,한국맥도날드 구의역점,207396.921760108,448247.027477317
휴게음식점,영업,세븐일레븐(자양점),206568.236371191,447940.022480401
휴게음식점,영업,파스쿠찌테크노마트점,208394.416382167,448165.279999905
휴게음식점,영업,바이더웨이(BUY THE WAY) 건국대점,206275.943840576,448987.07838398
휴게음식점,영업,본가돈까스,207308.47719195,447484.460563478
휴게음식점,영업,훼미리마트자양한강점,206858.073532752,447814.53997158
휴게음식점,영업,롯데리아아차산역점,207907.884299176,449938.014730815
휴게음식점,영업,투썸플레이스 강변씨지브이,208394.416382167,448165.279999905
휴게음식점,영업,롯데리아구의역점,207365.009660992,448238.625106956
휴게음식점,영업,가야토스트,206400.055940885,449297.66464619
휴게음식점,영업,바이더웨이,206246.063541478,448922.207178763
휴게음식점,영업,쎄리오(테크노마트지하1층),208394.416382167,448165.279999905
휴게음식점,영업,컴포즈커피,207316.117974646,448503.50464979
휴게음식점,영업,건국햄,206749.486486613,448872.11537843
휴게음식점,영업,도미노피자중곡점,207680.187732976,450547.788437558
휴게음식점,영업,베레베레,206189.569199535,448959.735473105
휴게음식점,영업,건대부고매점,206445.881091692,448922.881688102
휴게음식점,영업,세븐일레븐(구의3호점),207451.978559216,448383.349035758
휴게음식점,영업,세븐일레븐(건국대점),206674.818809176,449246.839436898
휴게음식점,영업,베스킨라빈스(건대역점),206209.053816928,448792.13691876
휴게음식점,영업,세븐일레븐(화양점),206397.951191777,449409.765652115
휴게음식점,영업,세븐일레븐(중곡2호점),207624.210034108,451310.556345596
휴게음식점,영업,이삭토스트,206179.125499361,448970.313149132
휴게음식점,영업,세븐일레븐(군자역점),207012.463034301,450631.395040476
휴게음식점,영업,세븐일레븐노유점,205359.546199006,448247.458250525
휴게음식점,영업,큐베리,207189.69215831,451383.315654499
휴게음식점,영업,유캔두잇,208135.50744518,448204.09170096
휴게음식점,영업,본죽&비빔밥카페(cafe),206130.5819396,448587.832476005
휴게음식점,영업,하겐다즈 광장점,209033.339549292,449192.402539275
휴게음식점,영업,이삭토스트,205905.381939151,448686.69670371
휴게음식점,영업,하이루탕후루,207489.563257946,448890.687359283
휴게음식점,영업,스타벅스 건대입구점,206182.11063937,448717.893352952
휴게음식점,영업,이삭토스트,208984.983111209,449426.478294985
휴게음식점,영업,Noi Con Voi(노이콘보이),207574.350933065,447709.275315842
휴게음식점,영업,레스티오(Restio),206445.881091692,448922.881688102
휴게음식점,영업,스타벅스(자양점),206043.358791333,448141.665395069
휴게음식점,영업,이디야,206610.107204606,449361.893107443
휴게음식점,영업,롯데쇼핑(주)롯데마트강변점,208394.416382167,448165.279999905
휴게음식점,영업,김밥천국,206445.881091692,448922.881688102
휴게음식점,영업,이마트자양점 회/스시,206349.675048285,448396.939704285
휴게음식점,영업,이마트 자양점 양풍조리,206349.675048285,448396.939704285
휴게음식점,영업,이마트 자양점 중화요리,206349.675048285,448396.939704285
휴게음식점,영업,이마트 자양점 김밥,206349.675048285,448396.939704285
휴게음식점,영업,이마트 자양점 초밥류,206349.675048285,448396.939704285
휴게음식점,영업,이마트 자양점 구이,206349.675048285,448396.939704285
휴게음식점,영업,롯데리아 건대스타시티점,206349.675048285,448396.939704285
휴게음식점,영업,피자스쿨자양점,206947.646752977,447745.557839831
