설치장소,동명,위도,경도
지너스타워 주차장 앞,구의3동,37.53534922,127.0934051
동서울터미널 주차장 앞,구의3동,37.533377,127.0921657
리젠트오피스텔 건너편,구의3동,37.53453851,127.0941841
강변역 4번출구,구의3동,37.53516928,127.0946646
프라임아파트 정문(213동),구의3동,37.53695769,127.0965367
강변역 1번출구,구의3동,37.53516928,127.0946646
현대2단지아파트 앞,구의3동,37.537871,127.0962194
어린이대공원 정문,능동,37.547246,127.0783044
서울시민안전체험관 앞,능동,37.552162,127.0772537
군자CGV 앞,군자동,37.55617918,127.0784986
세종대정문 택시승강장,군자동,37.551325,127.0761017
고신경정신과의원 앞,중곡2동,37.55838922,127.0803897
태양주유소 앞,중곡1동,37.561604,127.0746837
올포유 앞,자양4동,37.536666,127.062876
우리은행 앞,중곡4동,37.55746883,127.0882443
MB모터스 옆,중곡1동,37.56349624,127.0782626
모두투어 앞,광장동,37.54757569,127.1069932
광현교회 앞,광장동,37.54367047,127.102485
국민은행 앞,구의2동,37.54514716,127.088409
공원약국 앞,중곡4동,37.552503,127.0897268
군자빌딩,군자동,37.55843186,127.0753087
아씨방 앞,능동,37.5543866,127.0856919
아차산역5번출구 앞,능동,37.5520117,127.0787724
파리바게트 앞,자양2동,37.532063,127.0791123
노인종합복지관 앞,군자동,37.551085,127.0715961
중곡지구대 앞,중곡1동,37.56372011,127.0827881
강변스파랜드 앞,구의3동,37.53488531,127.0913073
건대입구1번출구 앞,화양동,37.54112608,127.0679321
건대입구3번출구 앞,화양동,37.540684,127.0714119
건대분수광장 건너편,화양동,37.54218997,127.071312
건국대병원 맞은편,화양동,37.54087789,127.0707809
건대역약국 앞,자양4동,37.54078275,127.0673968
구의사거리,구의2동,37.54579499,127.0863826
두산위브 앞,군자동,37.54846108,127.071019
신성그랜드타워 앞,중곡1동,37.56506217,127.0804159
성자초등학교 옆,자양2동,37.53149517,127.0835629
한국보건의료인 국가시험원 앞,자양2동,37.53199519,127.085371
중곡문화체육센터 앞,중곡3동,37.567767,127.0848024
광장 힐스테이 상가 건너편,광장동,37.54180908,127.0989833
구의동 대림바스플랜 앞,구의1동,37.544176,127.0846271
구의동 웰츠타워 앞,구의1동,37.53824698,127.0838518
구의동 금성빌라 앞,구의2동,37.55478453,127.0968221
이튼타워리버3차 앞,자양3동,37.53268464,127.0678785
광진광장,군자동,37.54816054,127.071743
자양동 동제한의원,자양1동,37.535132,127.083842
