"자치구","안심 주소","위도","경도","CCTV 수량","수정 일시"
"광진구","공원-광장-052-01","37.5442","127.0992","1","2022-12-01"
"광진구","공원-광장-052-02","37.5442","127.0992","1","2022-12-01"
"광진구","공원-광장-052-03","37.5442","127.0992","1","2022-12-01"
"광진구","공원-구의2-097-02","37.5475","127.0981","1","2022-12-01"
"광진구","공원-구의2-105-01","37.5544","127.0972","1","2022-12-01"
"광진구","공원-구의3-002-01","37.5413","127.0943","1","2022-12-01"
"광진구","공원-자양4-016-01","37.5393","127.0682","1","2022-12-01"
"광진구","공원-중곡4-067-02","37.5642","127.0964","1","2022-12-01"
"광진구","공원-중곡4-068-01","37.5652","127.0974","1","2022-12-01"
"광진구","공원-중곡4-068-02","37.5652","127.0974","1","2022-12-01"
"광진구","공원-중곡4-068-03","37.5652","127.0974","1","2022-12-01"
"광진구","공원-중곡4-069-01","37.5661","127.0984","1","2022-12-01"
"광진구","공원-중곡4-069-02","37.5661","127.0984","1","2022-12-01"
"광진구","공원-중곡4-069-03","37.5661","127.0984","1","2022-12-01"
"광진구","공원-중곡4-070-01","37.5666","127.0987","1","2022-12-01"
"광진구","공원-중곡4-070-02","37.5666","127.0987","1","2022-12-01"
"광진구","공원-중곡4-070-03","37.5666","127.0987","1","2022-12-01"
"광진구","공원-중곡4-071-01","37.5531","127.0998","1","2022-12-01"
"광진구","공원-중곡4-071-02","37.5531","127.0998","1","2022-12-01"
"광진구","공원-중곡4-071-03","37.5531","127.0998","1","2022-12-01"
"광진구","공원-중곡4-072-01","37.5527","127.0997","1","2022-12-01"
"광진구","공원-중곡4-072-02","37.5527","127.0997","1","2022-12-01"
"광진구","공원-중곡4-072-03","37.5527","127.0997","1","2022-12-01"
"광진구","공원-중곡4-073-01","37.5523","127.1007","1","2022-12-01"
"광진구","공원-중곡4-073-02","37.5523","127.1007","1","2022-12-01"
"광진구","공원-중곡4-073-03","37.5523","127.1007","1","2022-12-01"
"광진구","공원-중곡4-073-04","37.5523","127.1007","1","2022-12-01"
"광진구","공원-중곡4-074-01","37.5627","127.1006","1","2022-12-01"
"광진구","공원-중곡4-074-02","37.5627","127.1006","1","2022-12-01"
"광진구","공원-중곡4-074-03","37.5627","127.1006","1","2022-12-01"
"광진구","공원-광장-051-비상벨","37.5498","127.1013","1","2022-12-01"
"광진구","공원-광장-045-01","37.5460","127.1039","1","2022-12-01"
"광진구","공원-광장-045-02","37.5460","127.1039","1","2022-12-01"
"광진구","공원-광장-045-03","37.5460","127.1039","1","2022-12-01"
"광진구","공원-광장-045-비상벨","37.5460","127.1039","1","2022-12-01"
"광진구","공원-광장-046-01","37.5482","127.1006","1","2022-12-01"
"광진구","공원-광장-046-02","37.5482","127.1006","1","2022-12-01"
"광진구","공원-광장-046-03","37.5482","127.1006","1","2022-12-01"
"광진구","공원-광장-046-비상벨","37.5482","127.1006","1","2022-12-01"
"광진구","공원-광장-047-01","37.5463","127.0987","1","2022-12-01"
"광진구","공원-광장-047-비상벨","37.5463","127.0987","1","2022-12-01"
"광진구","공원-광장-048-01","37.5466","127.0990","1","2022-12-01"
"광진구","공원-광장-048-비상벨","37.5466","127.0990","1","2022-12-01"
"광진구","공원-광장-050-01","37.5493","127.1014","1","2022-12-01"
"광진구","공원-광장-050-02","37.5493","127.1014","1","2022-12-01"
"광진구","공원-광장-050-03","37.5493","127.1014","1","2022-12-01"
"광진구","공원-광장-050-비상벨","37.5493","127.1014","1","2022-12-01"
"광진구","공원-광장-051-01","37.5498","127.1013","1","2022-12-01"
"광진구","공원-광장-051-02","37.5498","127.1013","1","2022-12-01"
"광진구","공원-광장-052-비상벨","37.5442","127.0992","1","2022-12-01"
"광진구","공원-광장-053-01","37.5444","127.0997","1","2022-12-01"
"광진구","공원-광장-053-비상벨","37.5444","127.0997","1","2022-12-01"
"광진구","공원-광장-054-01","37.5447","127.0993","1","2022-12-01"
"광진구","공원-광장-054-02","37.5447","127.0993","1","2022-12-01"
"광진구","공원-광장-054-비상벨","37.5447","127.0993","1","2022-12-01"
"광진구","공원-광장-055-01","37.5458","127.1007","1","2022-12-01"
"광진구","공원-광장-055-비상벨","37.5458","127.1007","1","2022-12-01"
"광진구","공원-광장-058-01","37.5491","127.1074","1","2022-12-01"
"광진구","공원-광장-058-02","37.5491","127.1074","1","2022-12-01"
"광진구","공원-광장-058-03","37.5491","127.1074","1","2022-12-01"
"광진구","공원-광장-058-비상벨","37.5491","127.1074","1","2022-12-01"
"광진구","공원-광장-060-01","37.5496","127.0991","1","2022-12-01"
"광진구","공원-광장-060-02","37.5496","127.0991","1","2022-12-01"
"광진구","공원-광장-090-01","37.5523","127.1038","1","2022-12-01"
"광진구","공원-광장-090-02","37.5523","127.1038","1","2022-12-01"
"광진구","공원-광장-090-03","37.5523","127.1038","1","2022-12-01"
"광진구","공원-광장-090-비상벨","37.5523","127.1038","1","2022-12-01"
"광진구","공원-광장-104-01","37.5523","127.1013","1","2022-12-01"
"광진구","공원-광장-104-02","37.5523","127.1013","1","2022-12-01"
"광진구","공원-광장-104-03","37.5523","127.1013","1","2022-12-01"
"광진구","공원-광장-104-04","37.5523","127.1013","1","2022-12-01"
"광진구","공원-구의2-001-01","37.5484","127.0922","1","2022-12-01"
"광진구","공원-구의2-001-비상벨","37.5484","127.0922","1","2022-12-01"
"광진구","공원-구의2-033-01","37.5494","127.0947","1","2022-12-01"
"광진구","공원-구의2-033-비상벨","37.5494","127.0947","1","2022-12-01"
"광진구","공원-구의2-034-01","37.5482","127.0964","1","2022-12-01"
"광진구","공원-구의2-034-비상벨","37.5482","127.0964","1","2022-12-01"
"광진구","공원-구의2-035-01","37.5480","127.0970","1","2022-12-01"
"광진구","공원-구의2-035-비상벨","37.5480","127.0970","1","2022-12-01"
"광진구","공원-구의2-036-01","37.5480","127.0982","1","2022-12-01"
"광진구","공원-구의2-036-비상벨","37.5480","127.0982","1","2022-12-01"
"광진구","공원-구의2-037-01","37.5476","127.0983","1","2022-12-01"
"광진구","공원-구의2-037-비상벨","37.5476","127.0983","1","2022-12-01"
"광진구","공원-구의2-038-01","37.5464","127.0982","1","2022-12-01"
