연번,도로명주소,상세위치,수량,위도,경도,관리기관,연락처,자료기준일
1,서울특별시 광진구 면목로 131(중곡동),중마초등학교,1,37.56520483,127.08074,광진구청,02-450-7928,2023-02-04
2,서울특별시 광진구 강변역로4길 10(구의동),강변역(동서울터미널),2,37.53535165,127.0934054,광진구청,02-450-7928,2023-02-04
3,서울특별시 광진구 강변역로 50(구의동),강변역(동서울터미널),1,37.53453766,127.0941846,광진구청,02-450-7928,2023-02-04
4,서울특별시 광진구 아차산로 244(자양동),건대입구역,2,37.53973082,127.0702007,광진구청,02-450-7928,2023-02-04
5,서울특별시 광진구 능동로 103(자양동),건대입구역,1,37.54033696,127.07051,광진구청,02-450-7928,2023-02-04
6, 서울특별시 광진구 능동로 92(자양동),건대입구역,1,37.53899994,127.0712168,광진구청,02-450-7928,2023-02-04
7,서울특별시 광진구 천호대로 655(중곡동),아차산역,2,37.55259654,127.0897224,광진구청,02-450-7928,2023-02-04
8,서울특별시 광진구 광장로 45(광장동),광장초등학교,1,37.54699826,127.1023293,광진구청,02-450-7928,2023-02-04
9,서울특별시 광진구 자양로 247(구의동),광진초등학교,1,37.54865217,127.0888423,광진구청,02-450-7928,2023-02-04
10,서울특별시 광진구 자양로 150(구의동),구의초등학교,1,37.54094542,127.0838212,광진구청,02-450-7928,2023-02-04
11,서울특별시 광진구 뚝섬로 552(자양동),동자초등학교,1,37.53430592,127.071275,광진구청,02-450-7928,2023-02-04
12,서울특별시 광진구 뚝섬로 655(자양동),성자초등학교,1,37.53158984,127.0823175,광진구청,02-450-7928,2023-02-04
13,서울특별시 광진구 뚝섬로 657(자양동),성자초등학교,1,37.53161932,127.0826339,광진구청,02-450-7928,2023-02-04
14,서울특별시 광진구 군자로 114(군자동),세종초등학교,1,37.55302432,127.0728765,광진구청,02-450-7928,2023-02-04
15,서울특별시 광진구 뚝섬로 539(자양동),신양초등학교,1,37.53502636,127.070078,광진구청,02-450-7928,2023-02-04
16,서울특별시 광진구 광나루로 588(구의동),양진초등학교,1,37.54268963,127.0938485,광진구청,02-450-7928,2023-02-04
17,서울특별시 광진구 아차산로 325(자양동),자양초등학교,1,37.53784443,127.0790048,광진구청,02-450-7928,2023-02-04
18,서울특별시 광진구 군자로 76(군자동),장안초등학교,1,37.54997351,127.0710582,광진구청,02-450-7928,2023-02-04
19,서울특별시 광진구 능동로 393(중곡동),중광초등학교,1,37.56439475,127.0831723,광진구청,02-450-7928,2023-02-04
20,서울특별시 광진구 능동로 137-1(화양동),화양초등학교,1,37.54319529,127.0719117,광진구청,02-450-7928,2023-02-04
21,서울특별시 광진구 광나루로 553 (구의동),광진초등학교,1,37.544829,127.091121,광진구청,02-450-7928,2023-02-04
22,서울특별시 광진구 자양로 120(자양동),광진구청,1,37.53857377,127.0835786,광진구청,02-450-7928,2023-02-04
23,서울특별시 광진구 자양로 115(자양동),광진구청,1,37.53812817,127.0830522,광진구청,02-450-7928,2023-02-04
