관리번호,위도,경도
로데오거리1-1,37.5395131,127.0700084
로데오거리1-16,37.5408526,127.0662875
중곡제방길1,37.5716952,127.0795179
중곡제방길10,37.5702178,127.0791525
중곡제방길11,37.5700532,127.0790855
중곡제방길11-1,37.5697761,127.0791182
중곡제방길12,37.5698095,127.0789934
중곡제방길13,37.5696492,127.0789349
중곡제방길14,37.5695116,127.0788734
중곡제방길15,37.5693761,127.0788005
중곡제방길16,37.5692655,127.0787503
중곡제방길17,37.5691279,127.0786916
중곡제방길18,37.5689068,127.0785683
중곡제방길19,37.5686831,127.0784422
중곡제방길2,37.5715306,127.0794905
중곡제방길20,37.5685228,127.0783468
중곡제방길21,37.5683873,127.0782768
중곡제방길22,37.5682406,127.0782011
중곡제방길23,37.5681389,127.0781281
중곡제방길23-1,37.5680604,127.0782276
중곡제방길24,37.5680576,127.0780776
중곡제방길24-1,37.5680301,127.0779561
중곡제방길25,37.5678431,127.0779571
중곡제방길26,37.5676569,127.0778623
중곡제방길27,37.567527,127.0777748
중곡제방길28,37.5673847,127.0776851
중곡제방길29,37.5672323,127.0776043
중곡제방길3,37.5713389,127.0794548
중곡제방길30,37.5670392,127.077503
중곡제방길30-1,37.5671135,127.0774771
중곡제방길31,37.5668541,127.077405
중곡제방길32,37.5667276,127.0773349
중곡제방길33,37.5665695,127.0772367
중곡제방길33-1,37.5664129,127.0772353
중곡제방길34,37.5664139,127.077164
중곡제방길35,37.5662897,127.0771052
중곡제방길36,37.5660436,127.0769594
중곡제방길37,37.5658743,127.0768811
중곡제방길38,37.5657162,127.0767914
중곡제방길39,37.5655231,127.0766826
중곡제방길4,37.5711675,127.0794161
중곡제방길40,37.5653865,127.0765839
중곡제방길41,37.5652149,127.0764858
중곡제방길42,37.5650707,127.0764271
중곡제방길43,37.5649293,127.0763378
중곡제방길43-1,37.5648177,127.0763209
중곡제방길44,37.564761,127.076225
중곡제방길44-1,37.5646417,127.0762653
중곡제방길45,37.5646206,127.0760447
중곡제방길46,37.5644954,127.0759864
중곡제방길47,37.5643431,127.0759189
중곡제방길5,37.5710164,127.0793773
중곡제방길6,37.5709081,127.0793497
중곡제방길6-1,37.5708385,127.079418
중곡제방길7,37.5707705,127.0793165
중곡제방길8,37.5706306,127.0792635
중곡제방길9,37.5704254,127.0792136
강변역로1-1,37.5364994,127.0934021
강변역로1-10,37.5350344,127.0930705
강변역로1-11,37.5349291,127.0929448
강변역로1-12,37.5347639,127.0927563
강변역로1-13,37.5346395,127.0926028
강변역로1-14,37.5346292,127.0923903
강변역로1-15,37.5346501,127.0921839
강변역로1-16,37.5346861,127.0919434
강변역로1-17,37.5354965,127.0940414
강변역로1-19,37.5353196,127.093943
강변역로1-2,37.5362181,127.0935338
강변역로1-20,37.5353016,127.0940603
강변역로1-21,37.5351159,127.0941825
강변역로1-22,37.5350063,127.0942681
강변역로1-23,37.534882,127.0943677
강변역로1-24,37.5346983,127.0945147
강변역로1-25,37.5345143,127.0946626
강변역로1-26,37.534344,127.0947854
강변역로1-3,37.5359864,127.0936398
강변역로1-4,37.5358111,127.0937539
강변역로1-5,37.5356465,127.093789
강변역로1-6,37.5355764,127.0937084
강변역로1-7,37.5354437,127.0935507
강변역로1-8,37.5353143,127.0933897
강변역로1-9,37.5351455,127.0932008
강변역로2-1,37.5361892,127.0939533
강변역로2-10,37.5348478,127.0947778
강변역로2-11,37.534659,127.0949005
강변역로2-12,37.5345241,127.0950003
강변역로2-13,37.5343399,127.0951372
강변역로2-14,37.5345118,127.0953456
강변역로2-15,37.5348064,127.0951601
강변역로2-16,37.5350334,127.0950032
강변역로2-17,37.5352089,127.0949117
강변역로2-18,37.5353616,127.0947779
강변역로2-19,37.535618,127.0946322
강변역로2-2,37.5359721,127.0940756
강변역로2-20,37.5357709,127.0945408
강변역로2-21,37.5360474,127.094344
강변역로2-22,37.5362812,127.0941758
강변역로2-3,37.5357969,127.0941728
강변역로2-4,37.5355988,127.0942842
강변역로2-5,37.5354641,127.0943783
강변역로2-6,37.535334,127.0944668
강변역로2-7,37.5352346,127.0945494
