어린이집명,시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,통학차량운영여부,데이터기준일자
EQ어린이집,서울특별시,광진구,가정,20,5,서울특별시 광진구 동일로26길 41 (화양동),02-466-1071,02-466-1079,3,4,미운영,2023-02-07
KB구의 어린이집,서울특별시,광진구,직장,49,15,서울특별시 광진구 광나루로 525 3층,02-6235-7977,02-6235-7976,4,1,미운영,2023-02-07
강변에코비어린이집,서울특별시,광진구,가정,19,5,서울특별시 광진구 구의강변로 42 101동 108호,02-3436-0260,02-3436-0260,4,0,미운영,2023-02-07
건대꼬마숲어린이집,서울특별시,광진구,민간,48,9,서울특별시 광진구 동일로28길 45 (화양동),02-467-6489,02-461-9069,6,1,운영(신고),2023-02-07
고은아이어린이집,서울특별시,광진구,가정,19,8,서울특별시 광진구 능동로3길 53 1동 102호(자양동),02-464-1355,070-7625-1355,4,0,미운영,2023-02-07
광진구청직장어린이집,서울특별시,광진구,직장,52,9,서울특별시 광진구 자양로 117 광진구청 1동 777호(자양동),02-450-1650,02-3425-1900,3,1,미운영,2023-02-07
광진어린이집,서울특별시,광진구,민간,91,21,서울특별시 광진구 아차산로40길 9 (자양동),02-2201-0126,02-2201-0976,7,3,운영(신고),2023-02-07
구립 건대티움아이어린이집,서울특별시,광진구,국공립,20,7,"서울특별시 광진구 능동로4길 41 701동 101호(자양동, 자양7차현대홈타운)",02-499-1279,,3,0,미운영,2023-02-07
구립 광남어린이집,서울특별시,광진구,국공립,20,7,"서울특별시 광진구 아차산로70길 62 305동 102호(광장현대3단지아파트, 광장동)",02-455-7430,02-456-7430,3,0,미운영,2023-02-07
구립 광진그랜드파크어린이집,서울특별시,광진구,국공립,57,14,서울특별시 광진구 광나루로 458 어린이집,02-469-1956,02-497-0681,5,1,미운영,2023-02-07
구립 구의1동 아이터어린이집,서울특별시,광진구,국공립,49,9,서울특별시 광진구 자양로23길 79,02-2201-8684,02-2201-8683,5,0,미운영,2023-02-07
구립 구의2동어린이집,서울특별시,광진구,국공립,59,13,서울특별시 광진구 자양로44길 91 (구의동),02-446-6435,02-458-3157,7,2,미운영,2023-02-07
구립 구의3동어린이집,서울특별시,광진구,국공립,79,11,서울특별시 광진구 광나루로54길 36 (구의동),02-457-9230,050-4155-8057,6,1,미운영,2023-02-07
구립 군자동 꿈모음어린이집,서울특별시,광진구,국공립,65,13,서울특별시 광진구 군자로12길 6-4 (군자동 363-28),02-499-0011,02-499-0014,5,3,미운영,2023-02-07
구립 군자어린이집,서울특별시,광진구,국공립,99,20,서울특별시 광진구 동일로56가길 31 (군자동),02-461-2440,0505-491-2441,6,2,미운영,2023-02-07
구립 굿모닝어린이집,서울특별시,광진구,국공립,20,7,"서울특별시 광진구 아차산로 552 2동105호(광장동, 광장극동아파트)",02-458-6169,02-458-6168,3,1,미운영,2023-02-07
구립 느티나무어린이집,서울특별시,광진구,국공립,51,12,서울특별시 광진구 광나루로26길 39 (화양동),02-444-2544,02-444-2547,4,1,미운영,2023-02-07
구립 능동 꿈맞이어린이집,서울특별시,광진구,국공립,59,11,서울특별시 광진구 천호대로120길 32,02-457-7532,02-455-7531,5,1,미운영,2023-02-07
구립 능동어린이집,서울특별시,광진구,국공립,94,14,서울특별시 광진구 천호대로114길 47 (능동),02-458-0670,02-458-0696,5,1,미운영,2023-02-07
구립 능동주민센터어린이집,서울특별시,광진구,국공립,24,8,서울특별시 광진구 천호대로112길 55 능동주민센터 1층(능동 232-4),02-452-1006,,3,0,미운영,2023-02-07
구립 대원어린이집,서울특별시,광진구,국공립,44,9,서울특별시 광진구 자양로43길 115 (중곡동),02-3437-7173,02-3437-7174,4,1,미운영,2023-02-07
구립 동서울어린이집,서울특별시,광진구,국공립,96,18,서울특별시 광진구 광나루로44길 23 (구의동),02-456-7295,02-456-7295,7,1,미운영,2023-02-07
구립 명성어린이집,서울특별시,광진구,국공립,69,8,서울특별시 광진구 아차산로55길 59 (구의동),02-2201-9696,02-2201-9697,6,1,미운영,2023-02-07
