"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
9,서울특별시,광진구,구도,,강변역로4길,3,서울특별시 광진구 강변역로4길 10,서울특별시 광진구 구의동 546-11,37.53534922,127.0934051,지너스타워 주차장 앞,4,0,,,,2007,서울특별시 광진구청,02-450-1485,2022-08-16
13,서울특별시,광진구,구도,,강변역로4길,3,서울특별시 광진구 강변역로4길 56,서울특별시 광진구 구의동 547-7,37.533377,127.0921657,동서울터미널 주차장 앞,4,0,,,,2007,서울특별시 광진구청,02-450-1485,2022-08-16
8,서울특별시,광진구,구도,,강변역로,3,서울특별시 광진구 강변역로 50,서울특별시 광진구 구의동 546-1,37.53453851,127.0941841,리젠트오피스텔 건너편,4,0,,,,2007,서울특별시 광진구청,02-450-1485,2022-08-16
12,서울특별시,광진구,특별시도,,강변역로,3,서울특별시 광진구 강변역로 53,서울특별시 광진구 구의동 546-6,37.53516928,127.0946646,강변역 4번출구,4,0,,,,2007,서울특별시 광진구청,02-450-1485,2022-08-16
14,서울특별시,광진구,구도,,광나루로56길,3,서울특별시 광진구 광나루로56길 29,서울특별시 광진구 구의동 548-1,37.53695769,127.0965367,프라임아파트 정문(213동),4,0,,,,2007,서울특별시 광진구청,02-450-1485,2022-08-16
11,서울특별시,광진구,특별시도,,강변역로,3,서울특별시 광진구 강변역로 53,서울특별시 광진구 구의동 546-6,37.53516928,127.0946646,강변역 1번출구,4,0,,,,2007,서울특별시 광진구청,02-450-1485,2022-08-16
10,서울특별시,광진구,구도,,광나루로56길,3,서울특별시 광진구 광나루로56길 32,서울특별시 광진구 구의동 611,37.537871,127.0962194,현대2단지아파트 앞,4,0,,,,2007,서울특별시 광진구청,02-450-1485,2022-08-16
19,서울특별시,광진구,특별시도,405,능동로,3,서울특별시 광진구 능동로 210,서울특별시 광진구 능동 18-10,37.547246,127.0783044,어린이대공원 정문,4,0,,,,2007,서울특별시 광진구청,02-450-1485,2022-08-16
21,서울특별시,광진구,특별시도,405,능동로,3,서울특별시 광진구 능동로 248,서울특별시 광진구 능동 315-8,37.552162,127.0772537,서울시민안전체험관 앞,4,0,,,,2007,서울특별시 광진구청,02-450-1485,2022-08-16
17,서울특별시,광진구,특별시도,405,능동로,3,서울특별시 광진구 능동로 295,서울특별시 광진구 군자동 477-18,37.55617918,127.0784986,군자CGV 앞,4,0,,,,2007,서울특별시 광진구청,02-450-1485,2022-08-16
22,서울특별시,광진구,특별시도,405,능동로,3,서울특별시 광진구 능동로 237,서울특별시 광진구 군자동 249,37.551325,127.0761017,세종대정문 택시승강장,4,0,,,,2007,서울특별시 광진구청,02-450-1485,2022-08-16
29,서울특별시,광진구,특별시도,405,능동로,3,서울특별시 광진구 능동로 324,서울특별시 광진구 중곡동 161-44,37.55838922,127.0803897,고신경정신과의원 앞,4,0,,,,2007,서울특별시 광진구청,02-450-1485,2022-08-16
28,서울특별시,광진구,특별시도,32,동일로,3,서울특별시 광진구 동일로 343,서울특별시 광진구 중곡동 610-8,37.561604,127.0746837,태양주유소 앞,4,0,,,,2007,서울특별시 광진구청,02-450-1485,2022-08-16
137,서울특별시,광진구,특별시도,3111,뚝섬로,3,서울특별시 광진구 뚝섬로 472,서울특별시 광진구 자양동 239-1,37.536666,127.062876,올포유 앞,4,0,,,,2007,서울특별시 광진구청,02-450-1485,2022-08-16
30,서울특별시,광진구,특별시도,71,용마산로,3,서울특별시 광진구 용마산로 44,서울특별시 광진구 중곡동 79-9,37.55746883,127.0882443,우리은행 앞,4,0,,,,2007,서울특별시 광진구청,02-450-1485,2022-08-16
27,서울특별시,광진구,구도,,긴고랑로,3,서울특별시 광진구 긴고랑로 18,서울특별시 광진구 중곡동 247-6,37.56349624,127.0782626,MB모터스 옆,4,0,,,,2007,서울특별시 광진구청,02-450-1485,2022-08-16
1,서울특별시,광진구,특별시도,3107,아차산로,3,서울특별시 광진구 아차산로 614,서울특별시 광진구 광장동 334-2,37.54757569,127.1069932,모두투어 앞,4,0,,,,2007,서울특별시 광진구청,02-450-1485,2022-08-16
2,서울특별시,광진구,특별시도,3107,아차산로,3,서울특별시 광진구 아차산로 553,서울특별시 광진구 광장동 445-3,37.54367047,127.102485,광현교회 앞,4,0,,,,2007,서울특별시 광진구청,02-450-1485,2022-08-16
5,서울특별시,광진구,특별시도,3001,광나루로,3,서울특별시 광진구 광나루로 529,서울특별시 광진구 구의동 66-62,37.54514716,127.088409,국민은행 앞,4,0,,,,2007,서울특별시 광진구청,02-450-1485,2022-08-16
31,서울특별시,광진구,특별시도,5113,천호대로,3,서울특별시 광진구 천호대로 655,서울특별시 광진구 중곡동 115-9,37.552503,127.0897268,공원약국 앞,4,0,,,,2007,서울특별시 광진구청,02-450-1485,2022-08-16
18,서울특별시,광진구,특별시도,5113,천호대로,3,서울특별시 광진구 천호대로 512,서울특별시 광진구 군자동 466-17,37.55843186,127.0753087,군자빌딩,4,0,,,,2010,서울특별시 광진구청,02-450-1485,2022-08-16
20,서울특별시,광진구,특별시도,5113,천호대로,3,서울특별시 광진구 천호대로 616,서울특별시 광진구 능동 247-11,37.5543866,127.0856919,아씨방 앞,4,0,,,,2010,서울특별시 광진구청,02-450-1485,2022-08-16
3,서울특별시,광진구,특별시도,405,능동로,3,서울특별시 광진구 능동로 216,서울특별시 광진구 구의동 135,37.5520117,127.0787724,아차산역5번출구 앞,4,0,,,,2010,서울특별시 광진구청,02-450-1485,2022-08-16
23,서울특별시,광진구,특별시도,3111,뚝섬로,3,서울특별시 광진구 뚝섬로 626,서울특별시 광진구 자양동 606-11,37.532063,127.0791123,파리바게트 앞,4,0,,,,2010,서울특별시 광진구청,02-450-1485,2022-08-16
