행정기관,계,인구수(남),인구수(여),지역(구성비),구성비(남),구성비(여),성비,세대수,세대당인구
광진구,337416 ,162541 ,174875 ,100,48.17,51.83,92.95,169291 ,1.99
중곡제1동,15299 ,7322 ,7977 ,4.53,2.17,2.36,91.79,8504 ,1.8
중곡제2동,20999 ,9903 ,11096 ,6.22,2.93,3.29,89.25,10656 ,1.97
중곡제3동,15945 ,7897 ,8048 ,4.73,2.34,2.39,98.12,8513 ,1.87
중곡제4동,28035 ,13715 ,14320 ,8.31,4.06,4.24,95.78,13122 ,2.14
능동,11180 ,5134 ,6046 ,3.31,1.52,1.79,84.92,6406 ,1.75
구의제1동,23387 ,11143 ,12244 ,6.93,3.3,3.63,91.01,13077 ,1.79
구의제2동,26043 ,12511 ,13532 ,7.72,3.71,4.01,92.45,11517 ,2.26
구의제3동,28211 ,13309 ,14902 ,8.36,3.94,4.42,89.31,12079 ,2.34
광장동,34168 ,16524 ,17644 ,10.13,4.9,5.23,93.65,11814 ,2.89
자양제1동,21862 ,10646 ,11216 ,6.48,3.16,3.32,94.92,11913 ,1.84
자양제2동,23946 ,11612 ,12334 ,7.1,3.44,3.66,94.15,10887 ,2.2
자양제3동,27553 ,13166 ,14387 ,8.17,3.9,4.26,91.51,11009 ,2.5
자양제4동,17926 ,8915 ,9011 ,5.31,2.64,2.67,98.93,10209 ,1.76
화양동,23437 ,11141 ,12296 ,6.95,3.3,3.64,90.61,18185 ,1.29
군자동,19425 ,9603 ,9822 ,5.76,2.85,2.91,97.77,11400 ,1.7
