주차장명,주차면수, 시간당주차요금 ,경도,위도,동명
동서울호텔길 A,45,250,127.091861,37.5341503,구의3동
동서울호텔길 A,47,250,127.091861,37.5341503,구의3동
송림식당길 A,85,200,127.076033,37.5344317,자양3동
송림식당길 B,17,200,127.075217,37.5328825,자양3동
광진광장,36,250,127.073625,37.5477409,군자동
자양4동,86,150,127.068162,37.5386621,자양4동
구의1동,172,150,127.087849,37.5382618,구의1동
구의3동,160,150,127.091335,37.5390972,구의3동
능동,77,75,127.080217,37.5540256,능동
중곡3동 마을공원,163,75,127.084637,37.569943,중곡3동
자양동 유수지,289,150,127.07751,37.5293671,자양2동
화양동,44,150,127.072242,37.5455613,화양동
중곡복개천 A,35,200,127.083247,37.5615288,중곡2동
중곡복개천 B,44,200,27.083247,37.5615288,중곡2동
신성시장길,38,250,127.088348,37.5580383,중곡4동
