어린이집명,어린이집유형구분,정원수,보육교직원수,보육실수,놀이터수,동명
EQ어린이집,가정,20,5,3,4,화양동
KB구의 어린이집,직장,49,15,4,1,구의2동
강변에코비어린이집,가정,19,5,4,0,구의3동
건대꼬마숲어린이집,민간,48,9,6,1,화양동
고은아이어린이집,가정,19,8,4,0,자양4동
광진구청직장어린이집,직장,52,9,3,1,자양1동
광진어린이집,민간,91,21,7,3,자양1동
구립 건대티움아이어린이집,국공립,20,7,3,0,자양3동
구립 광남어린이집,국공립,20,7,3,0,광장동
구립 광진그랜드파크어린이집,국공립,57,14,5,1,구의1동
구립 구의1동 아이터어린이집,국공립,49,9,5,0,구의1동
구립 구의2동어린이집,국공립,59,13,7,2,구의2동
구립 구의3동어린이집,국공립,79,11,6,1,구의3동
구립 군자동 꿈모음어린이집,국공립,65,13,5,3,군자동
구립 군자어린이집,국공립,99,20,6,2,군자동
구립 굿모닝어린이집,국공립,20,7,3,1,광장동
구립 느티나무어린이집,국공립,51,12,4,1,화양동
구립 능동 꿈맞이어린이집,국공립,59,11,5,1,능동
구립 능동어린이집,국공립,94,14,5,1,능동
구립 능동주민센터어린이집,국공립,24,8,3,0,능동
구립 대원어린이집,국공립,44,9,4,1,중곡4동
구립 동서울어린이집,국공립,96,18,7,1,구의3동
구립 명성어린이집,국공립,69,8,6,1,구의1동
구립 물고기어린이집,국공립,20,6,3,0,자양3동
구립 미래어린이집,국공립,20,9,3,0,광장동
구립 바니스쿨어린이집,국공립,20,8,3,0,구의3동
구립 베베아이어린이집,국공립,20,6,3,0,광장동
구립 봄빛어린이집,국공립,20,7,3,0,자양4동
구립 사랑모아어린이집,국공립,20,6,3,0,구의3동
구립 사랑의어린이집,국공립,99,15,6,1,광장동
구립 상명어린이집,국공립,65,12,5,2,중곡3동
구립 샘물어린이집,국공립,20,8,3,0,자양2동
구립 샘터어린이집,국공립,20,6,4,1,광장동
구립 성심어린이집,국공립,91,16,6,1,중곡2동
구립 수호천사어린이집,국공립,48,11,5,0,중곡2동
구립 아띠어린이집,국공립,20,8,3,1,구의3동
구립 아이와나무어린이집,국공립,49,12,5,0,중곡2동
구립 예담어린이집,국공립,23,8,3,0,광장동
구립 우리아이어린이집,국공립,42,11,4,1,구의3동
구립 원스쿨어린이집,국공립,20,9,3,2,광장동
구립 은성어린이집,국공립,96,14,6,1,자양4동
구립 인정어린이집,국공립,28,9,5,0,군자동
구립 자양1동 봄뜰어린이집,국공립,65,10,5,1,자양1동
