"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명"
"3040000","CDFI2260031991000001","19910413","","01","영업/정상","13","영업중","","","","","02-455-1100","","143831","서울특별시 광진구 구의동 595","서울특별시 광진구 구의강변로 38 (구의동)","05116","동서울 관광호텔","2022-12-23 15:53:48","U","2021-11-01 22:05:00.0","","208051.884671132","447994.805558304","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3040000","CDFI2260031995000001","19950305","","01","영업/정상","13","영업중","","","","","455-5000","","143800","서울특별시 광진구 광장동 산 21-0","서울특별시 광진구 워커힐로 177 (광장동)","04963","SK 네트웍스 (주) 워커힐","2022-08-04 18:42:32","U","2021-12-08 00:07:00.0","","209775.267831522","450327.57709331","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3040000","CDFI2260032000000001","20001108","","03","폐업","03","폐업","20060828","","","","450-4521","","143210","서울특별시 광진구 광장동 산 21-0번지 ","","","(주)워커힐","2006-08-28 11:37:33","I","2018-08-31 23:59:59.0","","","","관광숙박업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3040000","CDFI2260032001000001","20010220","","03","폐업","03","폐업","20200121","","","","02-453-5131","","143803","서울특별시 광진구 광장동 188-2번지 4통3반 한강관광호텔 ","서울특별시 광진구 아차산로78길 147 (광장동)","04969","한강관광호텔","2020-01-22 09:43:34","U","2020-01-24 02:40:00.0","","209602.113978282    ","449468.709626347    ","관광숙박업","관광사업","","0","","","","호텔","5","3","116","16290","","","","","","","","","","16289.85","","","","","","","","","","","","","16290","관광호텔업"
"3040000","CDFI2260032001000002","20010322","","03","폐업","03","폐업","20060828","","","","02-453-5131","","143803","서울특별시 광진구 광장동 188-2번지 ","서울특별시 광진구 아차산로78길 147 (광장동)","","한강관광호텔","2019-05-14 13:17:25","U","2019-05-16 02:40:00.0","","209602.113978282    ","449468.709626347    ","관광숙박업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","관광호텔업"
"3040000","CDFI2260032012000001","20120509","","01","영업/정상","13","영업중","","","","","02-2218-5000","","143854","서울특별시 광진구 자양동 227-342번지 ","서울특별시 광진구 능동로 90 (자양동)","05065","더 클래식 500 펜타즈","2018-05-24 17:13:20","I","2018-08-31 23:59:59.0","","206217.434726027    ","448506.218743834    ","관광숙박업","","일반상업지역","20","","","","숙박시설","20","6","84","30403","","","","","","","","","","30402.74","","","","","","","","","76700000000","","","","30403","관광호텔업"
"3040000","CDFI2260032014000001","20140108","","01","영업/정상","13","영업중","","","","","02-465-7171","","143840","서울특별시 광진구 군자동 350-6","서울특별시 광진구 동일로 212 (군자동)","05002","호텔 컬리넌 건대","2022-10-11 10:05:48","U","2021-10-30 23:03:00.0","","206032.404204369","449812.167768449","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3040000","CDFI2260032016000001","20160614","","01","영업/정상","13","영업중","","","","","02  466 7851","","","서울특별시 광진구 중곡동 638-3번지 ","서울특별시 광진구 천호대로 521 (중곡동)","04920","호텔더디자이너스건대","2019-06-04 19:04:15","U","2019-06-06 02:40:00.0","","206698.893815455    ","450714.384110768    ","관광숙박업","","","10","","","","","10","3","75","5568","","","","","","","","","","5568.11","","","","","","","","","11800000000","","","","5568","관광호텔업"
"3040000","CDFI2260032017000001","20170116","","01","영업/정상","13","영업중","","","","","","","","서울특별시 광진구 능동 276-1 ","서울특별시 광진구 천호대로 560 (능동)","04985","호텔부티크나인","2021-05-03 19:09:49","U","2021-05-05 02:40:00.0","","207010.871583566    ","450476.132985226    ","관광숙박업","","","17","","","","호텔","17","2","86","5960","","","","","","","","","","5959.76","","","","","","","","","500000000","","","","5960","관광호텔업"
"3040000","CDFI2260032017000002","20170526","","01","영업/정상","13","영업중","","","","","02  499 1585","","","서울특별시 광진구 군자동 350-1","서울특별시 광진구 동일로 214 (군자동)","05002","호텔컬리넌건대2","2023-01-13 10:01:32","U","2022-11-30 23:05:00.0","","206049.041722081","449837.413487285","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3040000","CDFI2260032017000003","20171226","","03","폐업","03","폐업","20191021","","","","02  447 6900","","","서울특별시 광진구 구의동 633-4번지 ","서울특별시 광진구 광나루로30길 3 (구의동)","05023","호텔스타건대","2019-10-22 15:26:33","U","2019-10-24 02:40:00.0","","207215.701878385    ","449185.03038418     ","관광숙박업","","일반주거지역","5","","","","숙박시설","5","1","39","1535","","","","","","","","","","1535.16","","","","","","","","","400000000","","","","1535","관광호텔업"
"3040000","CDFI2260032018000001","2018-01-11","","01","영업/정상","13","영업중","","","","","02-499-8616","","","서울특별시 광진구 화양동 24-15","서울특별시 광진구 동일로 156 (화양동)","05013","에이치 에비뉴 건대점","2023-02-24 14:46:58","U","2022-12-01 22:06:00.0","","205814.775584133","449312.4702829","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3040000","CDFI2260032018000002","20180205","","01","영업/정상","13","영업중","","","","","02  463 5678","","","서울특별시 광진구 화양동 23-15 ","서울특별시 광진구 동일로 172 (화양동)","05007","호텔더디자이너스프리미어건대","2020-09-08 16:27:06","U","2020-09-10 02:40:00.0","","205879.365670312    ","449454.638559578    ","관광숙박업","","상업지역","20","유흥업소밀집지역","","","호텔","20","1","100","4803","","","","","","","","","","4762.55","","","","","","","","","22000000000","","","","4763","관광호텔업"
"3040000","CDFI2260032018000003","20180228","","01","영업/정상","13","영업중","","","","","","","","서울특별시 광진구 구의동 246-8 4층~5층","서울특별시 광진구 자양로18길 26, 4층 (구의동)","05044","휴호스텔","2022-08-18 14:58:16","U","2021-12-07 22:00:00.0","","207451.978559216","448383.349035758","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3040000","CDFI2260032018000004","20180621","","01","영업/정상","13","영업중","","","","","02  22463232","","","서울특별시 광진구 자양동 24-6 호텔케이월드","서울특별시 광진구 동일로 90, 호텔케이월드 (자양동)","05071","호텔케이월드","2022-07-07 18:45:41","U","2021-12-06 23:02:00.0","","205540.082598602","448702.306849626","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3040000","CDFI2260032021000001","20210916","","01","영업/정상","13","영업중","","","","","02-456-3271","","","서울특별시 광진구 광장동 327-1","서울특별시 광진구 아차산로76가길 12 (광장동)","04969","나무호텔","2022-10-11 17:00:14","U","2021-10-30 23:03:00.0","","209407.745384399","449459.252995276","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
