"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총인원","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지"
"3040000","3040000-104-1974-07701","19740301","","03","폐업","02","폐업","20000930","","","","02 4666678","","143839","서울특별시 광진구 군자동 102-32번지 ","","","인화","2001-11-29 00:00:00","I","2018-08-31 23:59:59.0","다방","206266.119712107    ","450011.265137886    ","다방","","","주택가주변","을","상수도전용","","","","","","","","","N","74.74","","",""
"3040000","3040000-104-1974-07762","19740301","","03","폐업","02","폐업","19941007","","","","02 4461818","","143826","서울특별시 광진구 구의동 252-16번지 ","","","황태자","2001-11-29 00:00:00","I","2018-08-31 23:59:59.0","다방","207342.766106556    ","448444.754635481    ","다방","0","0","주택가주변","을","상수도전용","","","","","","","","","N","172.82","","",""
"3040000","3040000-104-1976-07603","19760205","","03","폐업","02","폐업","19891109","","","","02 4669209","","143842","서울특별시 광진구 자양동 36-30번지 ","","","수정","2001-11-29 00:00:00","I","2018-08-31 23:59:59.0","다방","","","다방","0","0","기타","을","상수도전용","","","","","","","","","N","77.5","","",""
"3040000","3040000-104-1976-07610","19760205","","03","폐업","02","폐업","19920714","","","","02   00000","","143915","서울특별시 광진구 화양동 111-5번지 ","","","판도라","2001-11-29 00:00:00","I","2018-08-31 23:59:59.0","다방","206279.8211319      ","449481.157001217    ","다방","0","3","주택가주변","지도","상수도전용","","","","","","","","","N","28.36","","",""
"3040000","3040000-104-1976-07612","19761230","","03","폐업","02","폐업","19930820","","","","02   00000","","143915","서울특별시 광진구 화양동 111-49번지 ","","","오두막","2001-11-29 00:00:00","I","2018-08-31 23:59:59.0","다방","206254.165297126    ","449493.752554543    ","다방","2","2","주택가주변","지도","상수도전용","","","","","","","","","N","189.02","","",""
"3040000","3040000-104-1976-07615","19760205","","03","폐업","02","폐업","20000811","","","","0200000000","","143915","서울특별시 광진구 화양동 168-2번지 ","","","에스페로","2001-11-29 00:00:00","I","2018-08-31 23:59:59.0","다방","","","다방","1","2","주택가주변","지도","상수도전용","","","","","","","","","N","0","","",""
"3040000","3040000-104-1976-07747","19761101","","03","폐업","02","폐업","19990625","","","","02 4672561","","143904","서울특별시 광진구 중곡동 245-39번지 ","","","영","2001-11-29 00:00:00","I","2018-08-31 23:59:59.0","다방","206932.729539273    ","451161.083520574    ","다방","","","주택가주변","을","상수도전용","","","","","","","","","N","76.48","","",""
"3040000","3040000-104-1976-07790","19761231","","03","폐업","02","폐업","20000217","","","","02 4630015","","143846","서울특별시 광진구 자양동 236-76번지 ","","","종","2001-11-29 00:00:00","I","2018-08-31 23:59:59.0","다방","205520.920307732    ","448279.862520841    ","다방","","","주택가주변","을","상수도전용","","","","","","","","","N","91.02","","",""
"3040000","3040000-104-1976-07828","19760205","","03","폐업","02","폐업","19960918","","","","02 4462109","","143890","서울특별시 광진구 중곡동 116-6번지 ","","","능","2001-11-29 00:00:00","I","2018-08-31 23:59:59.0","다방","207731.485258408    ","450196.465106233    ","다방","0","3","주택가주변","갑","상수도전용","","","","","","","","","N","100.38","","",""
"3040000","3040000-104-1977-07619","19770127","","03","폐업","02","폐업","19960419","","","","02 4444149","","143824","서울특별시 광진구 구의동 236-53번지 ","","","길","2001-11-29 00:00:00","I","2018-08-31 23:59:59.0","다방","207400.608063491    ","448930.683211743    ","다방","0","4","주택가주변","갑","상수도전용","","","","","","","","","N","106.2","","",""
"3040000","3040000-104-1977-07674","19770329","","03","폐업","02","폐업","19940714","","","","02 4665624","","143901","서울특별시 광진구 중곡동 193-51번지 ","","","란","2001-11-29 00:00:00","I","2018-08-31 23:59:59.0","다방","207092.158906906    ","451438.322885872    ","다방","0","2","주택가주변","지도","상수도전용","","","","","","","","","N","74.01","","",""
"3040000","3040000-104-1977-07806","19770401","","03","폐업","02","폐업","20090828","","","","02 4572400","","143867","서울특별시 광진구 자양동 626-6   번지 ","","","동산","2005-11-07 00:00:00","I","2018-08-31 23:59:59.0","다방","","","다방","0","0","주택가주변","을","상수도전용","","","","","","","","","N","107.88","","",""
"3040000","3040000-104-1977-07835","19770920","","03","폐업","02","폐업","20011112","","","","02 4465991","","143887","서울특별시 광진구 중곡동 78-5번지 ","","","성백","2001-11-29 00:00:00","I","2018-08-31 23:59:59.0","다방","207736.577077988    ","450710.410178657    ","다방","","","주택가주변","갑","상수도전용","","","","","","","","","N","87.49","","",""
"3040000","3040000-104-1978-07617","19780506","","03","폐업","02","폐업","20090714","","","","02 4443242","","143962","서울특별시 광진구 구의동 230-19번지 ","","","중앙다방","2007-08-30 13:17:42","I","2018-08-31 23:59:59.0","다방","207752.167733871    ","449162.791521753    ","다방","0","3","주택가주변","을","상수도전용","","","","","","","","","N","111.74","","",""
"3040000","3040000-104-1978-07693","19781001","","03","폐업","02","폐업","19951031","","","","02 4663041","","143837","서울특별시 광진구 군자동 218-0번지 ","","","공원","2001-11-29 00:00:00","I","2018-08-31 23:59:59.0","다방","206487.088847041    ","449535.037638801    ","다방","0","0","주택가주변","기타","상수도전용","","","","","","","","","N","100.6","","",""
"3040000","3040000-104-1979-07252","19791222","","03","폐업","02","폐업","19981127","","","","02   0","","143190","서울특별시 광진구 자양동 343-4번지 ","","","독일제빵","2001-11-29 00:00:00","I","2018-08-31 23:59:59.0","과자점","","","과자점","0","","주택가주변","을","상수도전용","","","","","","","","","N","75.92","","",""
"3040000","3040000-104-1979-07309","19790315","","03","폐업","02","폐업","19970204","","","","02 4645290","","143914","서울특별시 광진구 화양동 7-4번지 ","","","크라운베이커리","2001-11-29 00:00:00","I","2018-08-31 23:59:59.0","과자점","205961.538225195    ","448756.309472854    ","과자점","0","","주택가주변","을","상수도전용","","","","","","","","","N","64.52","","",""
"3040000","3040000-104-1979-07335","19790205","","03","폐업","02","폐업","19950503","","","","02 4647583","","143915","서울특별시 광진구 화양동 118-2번지 ","","","파리바게뜨화양점","2001-11-29 00:00:00","I","2018-08-31 23:59:59.0","과자점","","","과자점","1","2","주택가주변","지도","상수도전용","","","","","","","","","N","63.34","","",""
"3040000","3040000-104-1979-07383","19790518","","03","폐업","02","폐업","19961009","","","","02 4583726","","143889","서울특별시 광진구 중곡동 115-9번지 ","","","포춘","2001-11-29 00:00:00","I","2018-08-31 23:59:59.0","과자점","207859.45812424     ","450042.160296352    ","과자점","4","3","결혼예식장주변","갑","상수도전용","","","","","","","","","N","60.52","","",""
"3040000","3040000-104-1979-07592","19790310","","03","폐업","02","폐업","20040730","","","","02 4676642","","143900","서울특별시 광진구 중곡동 174-81번지 ","","","명성다방","2002-10-25 00:00:00","I","2018-08-31 23:59:59.0","다방","","","다방","0","0","주택가주변","을","상수도전용","","","","","","","","","N","68.96","","",""
"3040000","3040000-104-1979-07620","19790727","","03","폐업","02","폐업","19921117","","","","02   00000","","143915","서울특별시 광진구 화양동 132-64번지 ","","","솔","2001-11-29 00:00:00","I","2018-08-31 23:59:59.0","다방","206151.025099262    ","449389.395434969    ","다방","1","2","주택가주변","지도","상수도전용","","","","","","","","","N","69.6","","",""
"3040000","3040000-104-1979-07659","19790913","","03","폐업","02","폐업","19971226","","","","02 4631338","","143915","서울특별시 광진구 화양동 132-1번지 ","","","고려","2001-11-29 00:00:00","I","2018-08-31 23:59:59.0","다방","","","다방","0","","주택가주변","을","상수도전용","","","","","","","","","N","85.66","","",""
"3040000","3040000-104-1979-07662","19790424","","03","폐업","02","폐업","20120718","","","","02 4627881","","143916","서울특별시 광진구 화양동 23-7번지 ","서울특별시 광진구 동일로 174 (화양동)","05007","하야로비","2012-07-16 10:41:21","I","2018-08-31 23:59:59.0","다방","205877.144978103    ","449479.955023544    ","다방","0","","주택가주변","을","상수도전용","","","","","","","","","N","84.54","","",""
"3040000","3040000-104-1979-07680","19790914","","03","폐업","02","폐업","19960212","","","","02 4446861","","143826","서울특별시 광진구 구의동 252-15번지 ","","","복","2001-11-29 00:00:00","I","2018-08-31 23:59:59.0","다방","207316.117974646    ","448503.50464979     ","다방","0","0","주택가주변","을","상수도전용","","","","","","","","","N","92.6","","",""
"3040000","3040000-104-1979-07713","19790302","","03","폐업","02","폐업","20010807","","","","02 4620529","","143917","서울특별시 광진구 화양동 42-1번지 ","","","동서다방","2001-11-29 00:00:00","I","2018-08-31 23:59:59.0","다방","205703.746604377    ","449082.094137517    ","다방","0","0","주택가주변","기타","상수도전용","","","","","","","","","N","102.97","","",""
"3040000","3040000-104-1979-07782","19790125","","03","폐업","02","폐업","20081201","","","","02 4478887","","143848","서울특별시 광진구 능동 236-1번지 ","","","백합","2002-10-25 00:00:00","I","2018-08-31 23:59:59.0","다방","207160.189487314    ","450403.116877344    ","다방","0","3","주택가주변","을","상수도전용","","","","","","","","","N","121.4","","",""
"3040000","3040000-104-1979-07793","19790319","","03","폐업","02","폐업","20050509","","","","02 4633843","","143841","서울특별시 광진구 자양동 11-1번지 ","","","조양다방","2003-07-07 00:00:00","I","2018-08-31 23:59:59.0","다방","205823.965284993    ","448496.525042865    ","다방","0","3","주택가주변","을","상수도전용","","","","","","","","","N","107.34","","",""
"3040000","3040000-104-1980-07249","19800912","","03","폐업","02","폐업","19960104","","","","02 4676697","","143900","서울특별시 광진구 중곡동 169-21번지 ","","","고려제과","2001-11-29 00:00:00","I","2018-08-31 23:59:59.0","과자점","207250.834018087    ","451800.009864484    ","과자점","2","1","주택가주변","을","상수도전용","","","","","","","","","N","22.3","","",""
"3040000","3040000-104-1980-07253","19800709","","03","폐업","02","폐업","19951017","","","","02   00000","","143914","서울특별시 광진구 화양동 5-47번지 ","","","해태델리","2001-11-29 00:00:00","I","2018-08-31 23:59:59.0","과자점","206182.11063937     ","448717.893352952    ","과자점","1","2","주택가주변","지도","상수도전용","","","","","","","","","N","67.8","","",""
"3040000","3040000-104-1980-07257","19801219","","03","폐업","02","폐업","19890119","","","","02 4461968","","143807","서울특별시 광진구 광장동 303-0번지 ","","","워커힐델피숍","2001-11-29 00:00:00","I","2018-08-31 23:59:59.0","과자점","","","과자점","1","1","주택가주변","지도","상수도전용","","","","","","","","","N","65.34","","",""
"3040000","3040000-104-1980-07259","19801222","","03","폐업","02","폐업","20000811","","","","02 4457910","","143907","서울특별시 광진구 중곡동 292-1번지 ","","","고려제과","2002-10-25 00:00:00","I","2018-08-31 23:59:59.0","과자점","","","과자점","0","","주택가주변","을","상수도전용","","","","","","","","","N","28.06","","",""
"3040000","3040000-104-1980-07262","19800818","","03","폐업","02","폐업","19990308","","","","02 4523190","","143864","서울특별시 광진구 자양동 584-13번지 ","","","하얀풍차","2001-11-29 00:00:00","I","2018-08-31 23:59:59.0","과자점","206533.049484886    ","447609.765976299    ","과자점","0","","주택가주변","을","상수도전용","","","","","","","","","N","19.63","","",""
"3040000","3040000-104-1980-07310","19800704","","03","폐업","02","폐업","19970217","","","","02 4655285","","143915","서울특별시 광진구 화양동 16-89번지 ","","","몽블랑","2001-11-29 00:00:00","I","2018-08-31 23:59:59.0","과자점","206133.523570835    ","449327.512325049    ","과자점","","","주택가주변","을","상수도전용","","","","","","","","","N","31.02","","",""
"3040000","3040000-104-1980-07323","19800802","","03","폐업","02","폐업","20020225","","","","02 4466860","","143918","서울특별시 광진구 구의동 244-50번지 ","","","밀려오네","2002-03-19 00:00:00","I","2018-08-31 23:59:59.0","일반조리판매","207822.300539021    ","448443.28377615     ","일반조리판매","0","0","주택가주변","갑","상수도전용","","","","","","","","","N","80.61","","",""
"3040000","3040000-104-1980-07394","19800609","","03","폐업","02","폐업","19950503","","","","02 4674146","","143847","서울특별시 광진구 능동 81-9번지 ","","","거북당","2001-11-29 00:00:00","I","2018-08-31 23:59:59.0","과자점","","","과자점","2","1","주택가주변","지도","상수도전용","","","","","","","","","N","68","","",""
"3040000","3040000-104-1980-07464","19800722","","03","폐업","02","폐업","19961030","","","","02 4631290","","143843","서울특별시 광진구 자양동 52-65번지 ","","","뉴욕베이커리","2001-11-29 00:00:00","I","2018-08-31 23:59:59.0","과자점","205510.476832288    ","448246.598294724    ","과자점","0","0","기타","기타","상수도전용","","","","","","","","","N","43.35","","",""
"3040000","3040000-104-1980-07611","19800530","","03","폐업","02","폐업","20000930","","","","02 4570335","","143962","서울특별시 광진구 구의동 229-2번지 ","","","은하수","2001-11-29 00:00:00","I","2018-08-31 23:59:59.0","다방","207916.510698893    ","449136.915963268    ","다방","0","","주택가주변","갑","상수도전용","","","","","","","","","N","121.77","","",""
