일련번호(no),주차장고유값(pl_id),지번주차장이름(pl_nm),구코드(sgg_code),법정동코드(bemd_code),산구분(land_registered),공유주차장구분(shared_parkinglot),번지(beonji),호(ho),주소(지번)(lot_num_address),새주소-도로명(road_nm_address),새주소-건물번호(bld_num),소유주체(possessor),급지(pl_grade),유무료(pl_fee),평일시작시간(pl_weekday_start_time),평일종료시간(pl_weekday_end_time),토요일시작시간(pl_sat_start_time),토요일종료시간(pl_sat_end_time),공휴일시작시간(pl_holiday_start_time),공휴일종료시간(pl_holiday_end_time),기본단위시간(pl_basic_rate_min),기본단위금액(pl_basic_rate_amt),추가단위시간(pl_addi_rate_min),추가단위금액(pl_addi_rate_amt),1일(전일)금액(pl_allday_pass_amt),1월(정기권)금액(pl_month_pass_amt),주차요금지불방식(pl_payment_option),부제시행(bool_not_driving_system),운영방식(operation_type),구간번호(section),구획번호(parcel),거주자-주간(월)금액(resident_day_month_amt),거주자-야간(월)금액(resident_night_month_amt),거주자-전일(월)금액(resident_allday_month_amt),거주자-평일시작시간(resident_weekday_start_time),거주자-평일종료시간(resident_weekday_end_time),거주자-토요일시작시간(resident_sat_start_time),거주자-토요일종료시간(resident_sat_end_time),거주자-휴일시작시간(resident_holiday_start_time),거주자-휴일종료시간(resident_holiday_end_time),할인정책-장애인(pl_discount_disabled),할인정책-경차(pl_discount_compact),할인정책-다자녀가정(두자녀)(pl_discount_2children),할인정책-다자녀가정(세자녀)(pl_discount_3children),할인정책-국가유공자(pl_discount_person_merit),할인정책-10부제참여차량(pl_discount_ten_part_system),할인정책-요일제차량(pl_discount_weekdayly),할인정책-기타할인율(pl_discount_other_percent),할인정책-기타대상(pl_discount_other_target),그룹관리번호(managing_group_no),경도(longitude),위도(latitude),구축기준일(final_end_dt)
1,4758432,249-6 노상주차장,11215,10300,임야도 등록,,249,6,서울특별시 광진구 구의동 249-6 드림-스페이스,자양로28길,34-,2,5,유료,0000,0000,0900,1500,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,47,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510300030,127.077648,37.555295,2022-11-25
2,4735321,16-81 노상주차장,11215,10700,임야도 등록,,16,81,서울특별시 광진구 화양동 16-81,군자로5길,18-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,164-3,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700005,127.069443,37.544867,2022-11-25
3,4756802,16-93 노상주차장,11215,10700,임야도 등록,,16,93,서울특별시 광진구 화양동 16-93,군자로5길,26-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,164-1,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700005,127.069553,37.544947,2022-11-25
4,4838021,16-35 노상주차장,11215,10700,임야도 등록,,16,35,서울특별시 광진구 화양동 16-35,군자로5길,30-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,164,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700005,127.069842,37.545087,2022-11-25
5,4736667,32-12 거주자우선주차장,11215,10700,임야도 등록,,32,12,서울특별시 광진구 화양동 32-12,능동로13길,94-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,143,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700006,127.067637,37.546392,2022-11-25
6,4737300,31-35 노상주차장,11215,10700,임야도 등록,,31,35,서울특별시 광진구 화양동 31-35,아차산로21길,94-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,28,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700006,127.067004,37.545818,2022-11-25
7,4754793,31-50 거주자우선주차장,11215,10700,임야도 등록,,31,50,서울특별시 광진구 화양동 31-50,아차산로21길,86-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,26,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700006,127.066871,37.545647,2022-11-25
8,4755479,32-12 노상주차장,11215,10700,임야도 등록,,32,12,서울특별시 광진구 화양동 32-12,능동로13길,94-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,137,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700006,127.068214,37.545739,2022-11-25
9,4755809,24-4 노상주차장,11215,10700,임야도 등록,,24,4,서울특별시 광진구 화양동 24-4,아차산로21길,107-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,33,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700006,127.067281,37.546428,2022-11-25
10,4755810,24-4 거주자우선주차장,11215,10700,임야도 등록,,24,4,서울특별시 광진구 화양동 24-4,아차산로21길,107-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,033-1,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700006,127.067355,37.546537,2022-11-25
11,4755811,31-25 노상주차장,11215,10700,임야도 등록,,31,25,서울특별시 광진구 화양동 31-25,아차산로23길,87-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,055-2,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700006,127.068025,37.545954,2022-11-25
12,4755813,31-24 거주자우선주차장,11215,10700,임야도 등록,,31,24,서울특별시 광진구 화양동 31-24,아차산로23길,89-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,134-1,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700006,127.068385,37.545605,2022-11-25
13,4756797,32-12 거주자우선주차장,11215,10700,임야도 등록,,32,12,서울특별시 광진구 화양동 32-12,능동로13길,94-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,142,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700006,127.067696,37.546347,2022-11-25
14,4756798,32-12 거주자우선주차장,11215,10700,임야도 등록,,32,12,서울특별시 광진구 화양동 32-12,능동로13길,94-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,144,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700006,127.067592,37.546451,2022-11-25
15,4756799,32-12 거주자우선주차장,11215,10700,임야도 등록,,32,12,서울특별시 광진구 화양동 32-12,능동로13길,94-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,146,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510700006,127.067693,37.546556,2022-11-25
