일련번호(no),카테고리1(cate1),카테고리2(cate2),카테고리3(cate3),주차장고유값(pl_id),시설 주차장명(pl_nm),건물명(build_poi_nm),법정동코드(bemd_code),시도명칭(sido_nm),시군구명칭(sgg_nm),법정읍면동명칭(bemd_nm),번지(beonji),호(ho),새주소-도로명(road_nm),새주소-건물번호(bld_num),일반인이용(pl_open_public),유무료(pl_fee),일반-기본단위시간(pl_basic_rate_min),일반-기본단위금액(pl_basic_rate_amt),일반-추가단위시간(pl_addi_rate_min),일반-추가단위금액(pl_addi_rate_amt),일반-1일(전일)(pl_allday_pass_amt),일반-1월(정기권)(pl_month_pass_amt),주차요금 지불방식(pl_payment_option),평일시작시간(pl_weekday_start_time),평일종료시간(pl_weekday_end_time),토요일시작시간(pl_sat_start_time),토요일종료시간(pl_sat_end_time),공휴일시작시간(pl_holiday_start_time),공휴일종료시간(pl_holiday_end_time),건축물층수-지하(pl_num_floor_underground),건축물층수-지상(pl_num_floor_aboveground),법정주차면수(pl_num_space_by_law),계획주차면수(pl_num_space_planned),전용주차구획-장애인(pl_num_disabled_private),전용주차구획-경차(pl_num_compact_private),전용주차구획-기타(pl_num_other_private),전용주차구획-여성우선(pl_num_women_only),할인정책-장애인(pl_discount_disabled),할인정책-경차(pl_discount_compact),할인정책-다자녀가정(두자녀)(pl_discount_2children),할인정책-다자녀가정(세자녀)(pl_discount_3children),할인정책-국가유공자(pl_discount_person_merit),할인정책-10부제참여차량(pl_discount_ten_part_system),할인정책-요일제차량(pl_discount_weekdayly),할인정책-기타할인율(pl_discount_other_percent),할인정책-기타대상(pl_discount_other_target),전용주차구획-전기차(pl_num_elctronic_only),전용주차구획-나눔카(pl_num_shared_car),충전소-실내외(space_type),충전소 설치 층수(install_floor),이용가능시간(available_time),충전기 상태(charger_state),충전기타입(charger_type),충전기 용량(charger_capacity),충전기 개수(charger_ea),서비스 운영사 기본요금(operation_basic_fee),관리업체명(manager_nm),관리업체전화번호(manager_tel),제조회사(manufacturer),충전기 캐노피(가림막 지붕) 설치 여부(charger_canopy_yn),점유과태료 안내여부(penalty_yn),재생 에너지 활용 여부(renewable_energy_yn),큐알코드결제 가능 여부 (EX_모두페이)(qrcode_yn),특이사항(speific),경도(logitude),위도(latitude),최종작성일(enter_date)
1,전시/공연,전시/기념관,소형갤러리,5022878,갤러리아래아 주차장,유진스웰,10400,서울특별시,광진구,광장동,121,0,아차산로78길,007-00,미개방,무료,0,0,0,0,0,0,없음,00:00,00:00,00:00,00:00,00:00,00:00,4,15,136,136,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,실외,1,00:00-24:00,충전대기,AC단상5핀,완속 7KW,1,209.2원,에버온,1661-7766,한국알박,있음,없음,없음,가능,,127.10936,37.550397,2022-11-25
2,레저/체육/공원,지역레저시설,실내골프/스크린골프,5022878,에이치플레이스골프스튜디오 주차장,유진스웰,10400,서울특별시,광진구,광장동,121,0,아차산로78길,007-00,미개방,무료,0,0,0,0,0,0,없음,00:00,00:00,00:00,00:00,00:00,00:00,4,15,136,136,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,실내,B3,00:00-24:00,충전대기,220V,완속 7KW,6,173.8원,스타코프,1833-4093,스타코프,있음,없음,없음,가능,,127.10936,37.550397,2022-11-25
3,전시/공연,영화/연극/공연,공연/연극/문화센터,5023340,그랜드워커힐호텔시어터 주차장,워커힐호텔,10400,서울특별시,광진구,광장동,22,1,워커힐로,177-00,일반인 개방,유료,30,0,10,1000,0,0,카드,00:00,00:00,00:00,00:00,00:00,00:00,0,15,3405,1027,22,2,0,75,0,0,0,0,0,0,0,0,0,23,0,실내,1,00:00-24:00,충전대기,AC단상5핀,급속 11KW,1,,제네시스,1522-2573,대영채비,있음,있음,없음,불가,,127.111379,37.555212,2022-11-25
4,전시/공연,전시/기념관,기타전시/박물관,5023340,프린트베이커리 주차장,워커힐호텔,10400,서울특별시,광진구,광장동,22,1,워커힐로,177-00,일반인 개방,유료,30,0,10,1000,0,0,카드,00:00,00:00,00:00,00:00,00:00,00:00,0,15,3405,1027,22,2,0,75,0,0,0,0,0,0,0,0,0,23,0,실내,1,00:00-24:00,충전대기,AC단상5핀,급속 11KW,1,,제네시스,1522-2573,대영채비,있음,있음,없음,불가,,127.111379,37.555212,2022-11-25
5,전시/공연,전시/기념관,미술관,5023340,워커힐미술관 주차장,워커힐호텔,10400,서울특별시,광진구,광장동,22,1,워커힐로,177-00,일반인 개방,유료,30,0,10,1000,0,0,카드,00:00,00:00,00:00,00:00,00:00,00:00,0,15,3405,1027,22,2,0,75,0,0,0,0,0,0,0,0,0,23,0,실내,1,00:00-24:00,충전대기,AC단상5핀,완속 7KW,1,259원,차지비,1600-4047,대영채비,있음,있음,없음,가능,,127.111379,37.555212,2022-11-25
6,문화관광/명소,관광지,일반관광지,5023340,서울단풍길 주차장,워커힐호텔,10400,서울특별시,광진구,광장동,22,1,워커힐로,177-00,일반인 개방,유료,30,0,10,1000,0,0,카드,00:00,00:00,00:00,00:00,00:00,00:00,0,15,3405,1027,22,2,0,75,0,0,0,0,0,0,0,0,0,23,0,실내,1,00:00-24:00,충전대기,AC단상5핀,완속 7KW,1,259원,차지비,1600-4047,대영채비,있음,있음,없음,가능,,127.111379,37.555212,2022-11-25
7,문화관광/명소,여행안내/예약,항공사/여행사,5023340,파라다이스티앤엘 주차장,워커힐호텔,10400,서울특별시,광진구,광장동,22,1,워커힐로,177-00,일반인 개방,유료,30,0,10,1000,0,0,카드,00:00,00:00,00:00,00:00,00:00,00:00,0,15,3405,1027,22,2,0,75,0,0,0,0,0,0,0,0,0,23,0,실내,1,00:00-24:00,충전대기,AC단상5핀,완속 7KW,1,259원,차지비,1600-4047,대영채비,있음,있음,없음,가능,,127.111379,37.555212,2022-11-25
8,레저/체육/공원,대형레저시설,파라다이스카지노,5023340,파라다이스카지노 주차장,워커힐호텔,10400,서울특별시,광진구,광장동,22,1,워커힐로,177-00,일반인 개방,유료,30,0,10,1000,0,0,카드,00:00,00:00,00:00,00:00,00:00,00:00,0,15,3405,1027,22,2,0,75,0,0,0,0,0,0,0,0,0,23,0,실내,1,00:00-24:00,충전대기,AC단상5핀,완속 7KW,1,259원,차지비,1600-4047,대영채비,있음,있음,없음,가능,,127.111379,37.555212,2022-11-25
9,레저/체육/공원,온천/사우나,대형스파,5023340,브이스파 주차장,워커힐호텔,10400,서울특별시,광진구,광장동,22,1,워커힐로,177-00,일반인 개방,유료,30,0,10,1000,0,0,카드,00:00,00:00,00:00,00:00,00:00,00:00,0,15,3405,1027,22,2,0,75,0,0,0,0,0,0,0,0,0,23,0,실내,1,00:00-24:00,충전대기,AC단상5핀,완속 7KW,1,259원,차지비,1600-4047,대영채비,있음,있음,없음,가능,,127.111379,37.555212,2022-11-25
10,레저/체육/공원,지역레저시설,스케이트장,5023340,그랜드워커힐서울워커힐아이스링크 주차장,워커힐호텔,10400,서울특별시,광진구,광장동,22,1,워커힐로,177-00,일반인 개방,유료,30,0,10,1000,0,0,카드,00:00,00:00,00:00,00:00,00:00,00:00,0,15,3405,1027,22,2,0,75,0,0,0,0,0,0,0,0,0,23,0,실내,1,00:00-24:00,충전대기,테슬라 전용,테슬라 전용,6,,테슬라,1522-2573,대영채비,있음,있음,없음,불가,,127.111379,37.555212,2022-11-25
