일련번호(no),주차장고유값(pl_id),주차장이름(pl_nm),구코드(sgg_code),법정동코드(bemd_code),주소(지번)(lot_num_address),일반-기본단위시간(pl_basic_rate_min),일반-기본단위금액(pl_basic_rate_amt),일반-추가단위시간(pl_addi_rate_min),일반-추가단위금액(pl_addi_rate_amt),일반-1일(전일)(pl_allday_pass_amt),일반-1월(정기권)(pl_month_pass_amt),건축물층수-지하(pl_num_floor_underground),건축물층수-지상(pl_num_floor_aboveground),계획주차면수(pl_num_space_planned),경도(logitude),위도(latitude)
1,4272844,능동로32길 073-00 주차장,11215,10200,서울특별시 광진구 능동 239-20,0,0,0,0,0,0,1,3,2.0,127.082462,37.554053
2,4272868,M캐슬 가을 주차장,11215,10200,서울특별시 광진구 능동 240-8,0,0,0,0,0,0,0,5,7.0,127.081944,37.553433
3,4272953,능동로32길 106-05 주차장,11215,10200,서울특별시 광진구 능동 243-23,0,0,0,0,0,0,1,2,0.0,127.083952,37.553057
4,4273230,에스에치빌 주차장,11215,10200,서울특별시 광진구 능동 254-28 에스에치빌,0,0,0,0,0,0,0,5,6.0,127.08662,37.55329
5,4849415,어린이대공원 구의문,11215,10200,서울특별시 광진구 능동 18-14,5,150,5,150,0,0,0,1,315.0,127.085488,37.542811
6,4856796,천호대로114길 021-00 주차장,11215,10200,서울특별시 광진구 능동 238-6,0,0,0,0,0,0,0,5,4.0,127.082645,37.554738
7,4862782,천호대로112길 058-08 주차장,11215,10200,서울특별시 광진구 능동 370-1,0,0,0,0,0,0,1,2,0.0,127.08001,37.554025
8,4862783,능동로34길 117-02 주차장,11215,10200,서울특별시 광진구 능동 248-21,0,0,0,0,0,0,1,2,0.0,127.085673,37.553559
9,4864251,능동로32길 062-02 주차장,11215,10200,서울특별시 광진구 능동 233-13,0,0,0,0,0,0,1,2,0.0,127.081685,37.55401
10,4869965,천호대로118길 033-05 주차장,11215,10200,서울특별시 광진구 능동 249-23,0,0,0,0,0,0,1,1,0.0,127.085122,37.553163
11,4895662,천호대로110길 030-00 주차장,11215,10200,서울특별시 광진구 능동 221-4,0,0,0,0,0,0,1,2,0.0,127.079507,37.555917
12,4896560,능동로34길 011-09 주차장,11215,10200,서울특별시 광진구 능동 223-15,0,0,0,0,0,0,0,2,0.0,127.080471,37.555586
13,4896564,능동로24길 079-01 주차장,11215,10200,서울특별시 광진구 능동 232-11,0,0,0,0,0,0,1,1,0.0,127.080556,37.553496
14,4896712,천호대로112길 066-07 주차장,11215,10200,서울특별시 광진구 능동 376,0,0,0,0,0,0,1,1,0.0,127.079678,37.553326
15,4897240,천호대로116길 053-00 주차장,11215,10200,서울특별시 광진구 능동 242-18,0,0,0,0,0,0,1,2,0.0,127.083107,37.552883
16,4899590,천호대로122길 026-00 주차장,11215,10200,서울특별시 광진구 능동 253-5,0,0,0,0,0,0,1,2,0.0,127.087416,37.552518
17,4900233,능동로32길 062-06 주차장,11215,10200,서울특별시 광진구 능동 233-26,0,0,0,0,0,0,1,2,1.0,127.081637,37.553858
18,4901197,능동로32길 062-04 주차장,11215,10200,서울특별시 광진구 능동 233-25,0,0,0,0,0,0,1,2,1.0,127.081621,37.553933
19,4901565,JS포레 주차장,11215,10200,서울특별시 광진구 능동 242-24 JS포레,0,0,0,0,0,0,0,4,4.0,127.083625,37.552831
20,4901578,능동로34길 086-00 주차장,11215,10200,서울특별시 광진구 능동 244-2,0,0,0,0,0,0,1,2,0.0,127.083845,37.55392
21,4902740,능동로32길 082-35 주차장,11215,10200,서울특별시 광진구 능동 135-22,0,0,0,0,0,0,1,4,5.0,127.081959,37.552602
22,4903037,천호대로118길 033-15 주차장,11215,10200,서울특별시 광진구 능동 249-27,0,0,0,0,0,0,1,2,0.0,127.085537,37.553
23,4903039,천호대로118길 033-17 주차장,11215,10200,서울특별시 광진구 능동 249-28,0,0,0,0,0,0,1,2,0.0,127.08564,37.552962
24,4903517,천호대로120길 047-05 주차장,11215,10200,서울특별시 광진구 능동 252-10,0,0,0,0,0,0,0,4,2.0,127.086038,37.5521
25,4903521,천호대로124길 064-03 주차장,11215,10200,서울특별시 광진구 능동 252-19,0,0,0,0,0,0,1,2,0.0,127.085999,37.551744
26,4903750,천호대로120길 047-03 주차장,11215,10200,서울특별시 광진구 능동 252-35,0,0,0,0,0,0,1,2,0.0,127.085911,37.552134
27,4905366,능동로36길 086-05 주차장,11215,10200,서울특별시 광진구 능동 238-26,0,0,0,0,0,0,1,1,2.0,127.083609,37.554475
28,4905725,능동로32길 020-14 주차장,11215,10200,서울특별시 광진구 능동 320-12,0,0,0,0,0,0,1,2,0.0,127.07935,37.554442
29,4905959,능동로32길 047-00 주차장,11215,10200,서울특별시 광진구 능동 234-21,0,0,0,0,0,0,1,2,1.0,127.08119,37.554544
30,4906369,능동로32길 087-00 주차장,11215,10200,서울특별시 광진구 능동 239-24,0,0,0,0,0,0,1,1,1.0,127.083198,37.553736
