주차장고유값(pl_id),지번주차장이름(pl_nm),기본단위시간(pl_basic_rate_min),기본단위금액(pl_basic_rate_amt),추가단위시간(pl_addi_rate_min),추가단위금액(pl_addi_rate_amt),1일(전일)금액(pl_allday_pass_amt),1월(정기권)금액(pl_month_pass_amt),거주자-주간(월)금액(resident_day_month_amt),거주자-야간(월)금액(resident_night_month_amt),거주자-전일(월)금액(resident_allday_month_amt),경도(longitude),위도(latitude)
4758432,249-6 노상주차장,0,0,0,0,0,0,30000,20000,40000,127.077648,37.555295
4735321,16-81 노상주차장,0,0,0,0,0,0,30000,20000,40000,127.069443,37.544867
4756802,16-93 노상주차장,0,0,0,0,0,0,30000,20000,40000,127.069553,37.544947
4838021,16-35 노상주차장,0,0,0,0,0,0,30000,20000,40000,127.069842,37.545087
4736667,32-12 거주자우선주차장,0,0,0,0,0,0,30000,20000,40000,127.067637,37.546392
4737300,31-35 노상주차장,0,0,0,0,0,0,30000,20000,40000,127.067004,37.545818
4754793,31-50 거주자우선주차장,0,0,0,0,0,0,30000,20000,40000,127.066871,37.545647
4755479,32-12 노상주차장,0,0,0,0,0,0,30000,20000,40000,127.068214,37.545739
4755809,24-4 노상주차장,0,0,0,0,0,0,30000,20000,40000,127.067281,37.546428
4755810,24-4 거주자우선주차장,0,0,0,0,0,0,30000,20000,40000,127.067355,37.546537
4755811,31-25 노상주차장,0,0,0,0,0,0,30000,20000,40000,127.068025,37.545954
4755813,31-24 거주자우선주차장,0,0,0,0,0,0,30000,20000,40000,127.068385,37.545605
4756797,32-12 거주자우선주차장,0,0,0,0,0,0,30000,20000,40000,127.067696,37.546347
4756798,32-12 거주자우선주차장,0,0,0,0,0,0,30000,20000,40000,127.067592,37.546451
4756799,32-12 거주자우선주차장,0,0,0,0,0,0,30000,20000,40000,127.067693,37.546556
4756800,32-12 거주자우선주차장,0,0,0,0,0,0,30000,20000,40000,127.067609,37.54657
4756801,32-12 거주자우선주차장,0,0,0,0,0,0,30000,20000,40000,127.067819,37.546485
4807921,32-12 거주자우선주차장,0,0,0,0,0,0,30000,20000,40000,127.067561,37.546488
4810108,32-12 거주자우선주차장,0,0,0,0,0,0,30000,20000,40000,127.067783,37.546267
4820708,31-16 노상주차장,0,0,0,0,0,0,30000,20000,40000,127.06713,37.546112
4820722,32-12 거주자우선주차장,0,0,0,0,0,0,30000,20000,40000,127.067667,37.546541
4825438,32-12 거주자우선주차장,0,0,0,0,0,0,30000,20000,40000,127.067745,37.546256
4825440,32-12 거주자우선주차장,0,0,0,0,0,0,30000,20000,40000,127.067758,37.546495
4826990,32-12 노상주차장,0,0,0,0,0,0,30000,20000,40000,127.068291,37.545672
4838022,32-12 거주자우선주차장,0,0,0,0,0,0,30000,20000,40000,127.067745,37.546307
5533079,31-25 노상주차장,0,0,0,0,0,0,30000,20000,40000,127.067936,37.545898
5533107,31-25 노상주차장,0,0,0,0,0,0,30000,20000,40000,127.06792,37.544967
4758135,132-27 노상주차장,0,0,0,0,0,0,30000,20000,40000,127.070815,37.546764
4756803,132-27 노상주차장,0,0,0,0,0,0,30000,20000,40000,127.070979,37.546727
4837108,132-27 노상주차장,0,0,0,0,0,0,30000,20000,40000,127.071029,37.546741
4757991,122 거주자우선주차장,0,0,0,0,0,0,30000,20000,40000,127.071091,37.546753
4757992,122 거주자우선주차장,0,0,0,0,0,0,30000,20000,40000,127.071169,37.546755
4757990,122 거주자우선주차장,0,0,0,0,0,0,30000,20000,40000,127.071244,37.546734
4837100,122 거주자우선주차장,0,0,0,0,0,0,30000,20000,40000,127.071269,37.546729
4810116,122 노상주차장,0,0,0,0,0,0,30000,20000,40000,127.071316,37.546751
4837755,132-12 노상주차장,0,0,0,0,0,0,30000,20000,40000,127.071445,37.546742
4758136,110-410 노상주차장,0,0,0,0,0,0,30000,20000,40000,127.07152,37.546716
4841828,122 노상주차장,0,0,0,0,0,0,30000,20000,40000,127.071538,37.546646
4756444,122 노상주차장,0,0,0,0,0,0,30000,20000,40000,127.071498,37.546621
4757997,122 노상주차장,0,0,0,0,0,0,30000,20000,40000,127.071519,37.546583
4757996,122 노상주차장,0,0,0,0,0,0,30000,20000,40000,127.071538,37.546491
