주차장이름(pl_nm),일반-1일(전일)(pl_allday_pass_amt),계획주차면수(pl_num_space_planned),법정동코드(bemd_code),경도(logitude),위도(latitude)
능동로32길 073-00 주차장,0,2.0,10200,127.082462,37.554053
M캐슬 가을 주차장,0,7.0,10200,127.081944,37.553433
에스에치빌 주차장,0,6.0,10200,127.08662,37.55329
어린이대공원 구의문,0,315.0,10200,127.085488,37.542811
천호대로114길 021-00 주차장,0,4.0,10200,127.082645,37.554738
능동로32길 062-06 주차장,0,1.0,10200,127.081637,37.553858
능동로32길 062-04 주차장,0,1.0,10200,127.081621,37.553933
JS포레 주차장,0,4.0,10200,127.083625,37.552831
능동로32길 082-35 주차장,0,5.0,10200,127.081959,37.552602
천호대로120길 047-05 주차장,0,2.0,10200,127.086038,37.5521
능동로36길 086-05 주차장,0,2.0,10200,127.083609,37.554475
능동로32길 047-00 주차장,0,1.0,10200,127.08119,37.554544
능동로32길 087-00 주차장,0,1.0,10200,127.083198,37.553736
능동로24길 055-00 주차장,0,8.0,10200,127.079595,37.552827
능동로34길 127-01 주차장,0,1.0,10200,127.08605,37.553353
능동로36길 126-08 주차장,0,2.0,10200,127.085393,37.553663
능동로32길 148-08 주차장,0,1.0,10200,127.085964,37.552243
능동로24길 083-01 주차장,0,2.0,10200,127.080546,37.553607
능동로24길 099-00 주차장,0,1.0,10200,127.081123,37.554199
능동로32길 163-00 주차장,0,1.0,10200,127.087043,37.552247
천호대로118길 021-00 주차장,0,1.0,10200,127.08522,37.553715
능동로34길 017-00 주차장,0,1.0,10200,127.080383,37.555466
우송 하우시스 비 주차장,0,7.0,10200,127.086229,37.553623
진성빌딩 주차장,0,2.0,10200,127.08039,37.553175
천호대로112길 048-06 주차장,0,5.0,10200,127.080352,37.554307
초이스빌 주차장,0,5.0,10200,127.079441,37.553066
레이첼빌 주차장,0,4.0,10200,127.078445,37.553456
천호대로118길 032-00 주차장,0,1.0,10200,127.084668,37.55328
대공원 하이츠 주차장,0,10.0,10200,127.085254,37.554241
능동 하늘집 주차장,0,10.0,10200,127.084949,37.554393
메디켐빌딩 주차장,0,7.0,10200,127.084799,37.554448
능동로36길 050-00 주차장,0,5.0,10200,127.081672,37.555387
능동로36길 050-06 주차장,0,3.0,10200,127.081585,37.555262
번영주택 주차장,0,7.0,10200,127.087162,37.552887
해피하우스 주차장,0,8.0,10200,127.086445,37.552245
능동로34길 155-00 주차장,0,11.0,10200,127.087439,37.552789
능동로34길 022-00 주차장,0,1.0,10200,127.08052,37.555227
능동로36길 022-00 주차장,0,2.0,10200,127.080287,37.555927
명성빌딩 주차장,0,10.0,10200,127.079957,37.555984
천호대로110길 027-00 주차장,0,1.0,10200,127.079776,37.55599
호안빌딩 주차장,0,16.0,10200,127.07924,37.556042
천호대로110길 052-00 주차장,0,2.0,10200,127.079029,37.555044
천호대로110길 058-00 주차장,0,5.0,10200,127.078893,37.55485
능동로36길 050-05 주차장,0,4.0,10200,127.081725,37.555223
능동로36길 050-01 주차장,0,4.0,10200,127.081792,37.555328
능동로36길 054-00 주차장,0,4.0,10200,127.081931,37.555303
능동로36길 054-06 주차장,0,2.0,10200,127.081839,37.555151
능동로36길 054-05 주차장,0,3.0,10200,127.081987,37.555083
능동로36길 054-03 주차장,0,2.0,10200,127.082028,37.555162
능동로36길 064-00 주차장,0,3.0,10200,127.082477,37.555067
천호대로110길 060-00 주차장,0,2.0,10200,127.078771,37.554733
천호대로110길 071-00 주차장,0,2.0,10200,127.078753,37.554189
능동로30길 015-00 주차장,0,3.0,10200,127.078813,37.553888
능동로30길 019-00 주차장,0,8.0,10200,127.078972,37.5538011
천호대로110길 071-05 주차장,0,3.0,10200,127.078996,37.554108
레나8 주차장,0,6.0,10200,127.079389,37.554177
GEO VILL 주차장,0,4.0,10200,127.079457,37.554265
골든 133 주차장,0,8.0,10200,127.086142,37.553924
갤러리홈스타 주차장,0,7.0,10200,127.086011,37.553977
능동로36길 127-00 주차장,0,5.0,10200,127.085858,37.554033
성심하이츠 주차장,0,8.0,10200,127.085696,37.554102
능동로36길 140-00 주차장,0,4.0,10200,127.08617,37.553483
능동로36길 134-06 주차장,0,6.0,10200,127.085809,37.55362
능동로34길 048-00 주차장,0,1.0,10200,127.081885,37.554671
능동로32길 069-04 주차장,0,4.0,10200,127.082419,37.554188
능동로36길 062-00 주차장,0,3.0,10200,127.082376,37.555115
라온 하우스 주차장,0,3.0,10200,127.08222,37.555024
WARM HOUSE 주차장,0,3.0,10200,127.082308,37.554989
천호대로120길 039-00 주차장,0,1.0,10200,127.085992,37.552447
천호대로112길 051-00 주차장,0,2.0,10200,127.080799,37.553973
천호대로110길 084-00 주차장,0,4.0,10200,127.078302,37.553785
능동로30길 040-00 주차장,0,3.0,10200,127.0795,37.552985
능동빌딩 주차장,0,30.0,10200,127.079119,37.555861
삼일빌딩 주차장,0,43.0,10200,127.078993,37.555597
능동로32길 005-00 주차장,0,5.0,10200,127.079117,37.555335
천호대로110길 040-00 주차장,0,2.0,10200,127.079285,37.555512
능동로34길 070-00 주차장,0,9.0,10200,127.082976,37.554207
능동로34길 074-00 주차장,0,9.0,10200,127.083081,37.55416
능동로34길 074-01 주차장,0,5.0,10200,127.083186,37.554104
능동로34길 073-00 주차장,0,6.0,10200,127.083263,37.554323
천호대로116길 019-00 주차장,0,6.0,10200,127.083934,37.554201
신궁전빌라 주차장,0,5.0,10200,127.08172,37.552706
천호대로116길 100-00 주차장,0,3.0,10200,127.081163,37.552798
천호대로116길 108-06 주차장,0,8.0,10200,127.081014,37.553196
부광주택 주차장,0,3.0,10200,127.081292,37.553294
천호대로116길 108-09 주차장,0,6.0,10200,127.081212,37.553422
천호대로116길 078-00 주차장,0,4.0,10200,127.082117,37.552312
천호대로112길 043-04 주차장,0,4.0,10200,127.08087,37.554099
천호대로112길 043-03 주차장,0,4.0,10200,127.080956,37.554241
능동로34길 144-00 주차장,0,7.0,10200,127.086755,37.552716
늘푸른집 주차장,0,5.0,10200,127.086852,37.553018
청운빌라 주차장,0,3.0,10200,127.078433,37.55409
금선빌라트 주차장,0,4.0,10200,127.078013,37.552058
천호대로110길 112-00 주차장,0,8.0,10200,127.077705,37.552518
능동로26길 008-00 주차장,0,8.0,10200,127.077701,37.552669
다우하우스 주차장,0,10.0,10200,127.07807,37.552588
천호대로110길 105-00 주차장,0,6.0,10200,127.078171,37.552784
한미빌딩 주차장,0,8.0,10200,127.077891,37.552879
천호대로110길 097-00 주차장,0,2.0,10200,127.07822,37.553011
능동로28길 020-00 주차장,0,2.0,10200,127.078463,37.552855
원광빌딩 주차장,0,8.0,10200,127.078203,37.554207
까사델라 1 주차장,0,10.0,10200,127.078344,37.552583
파크아이빌 주차장,0,23.0,10200,127.078339,37.552293
포시즌 팰리스 주차장,0,5.0,10200,127.084495,37.553664
하이하우스 주차장,0,7.0,10200,127.085175,37.55359
능동로34길 117-00 주차장,0,4.0,10200,127.085481,37.553498
능동로34길 119-00 주차장,0,4.0,10200,127.085608,37.553426
능동로32길 082-37 주차장,0,1.0,10200,127.082132,37.552526
능동로32길 082-53 주차장,0,5.0,10200,127.081856,37.552503
능동로32길 082-59 주차장,0,2.0,10200,127.08164,37.552526
능동로32길 082-25 주차장,0,2.0,10200,127.082232,37.552673
능동로32길 082-23 주차장,0,6.0,10200,127.082273,37.552781
하우젠파크빌 주차장,0,15.0,10200,127.082444,37.552896
천호대로122길 017-12 주차장,0,4.0,10200,127.087991,37.552349
천호대로122길 017-07 주차장,0,2.0,10200,127.088009,37.552596
천호대로122길 017-06 주차장,0,4.0,10200,127.087836,37.552555
효빌라 주차장,0,4.0,10200,127.087743,37.552667
두성빌딩 주차장,0,8.0,10200,127.084681,37.554781
원빌딩 주차장,0,5.0,10200,127.084893,37.554679
씨티하우스 주차장,0,8.0,10200,127.08301,37.555132
유현빌딩 주차장,0,4.0,10200,127.079809,37.556321
능동로36길 015-00 주차장,0,3.0,10200,127.080093,37.556224
동우빌딩 주차장,0,12.0,10200,127.080646,37.556349
천호대로 568-00 주차장,0,9.0,10200,127.080822,37.556271
범천타워 주차장,0,89.0,10200,127.081258,37.555986
정우빌딩 주차장,0,4.0,10200,127.081538,37.556001
천호대로110길 008-10 주차장,0,10.0,10200,127.079882,37.556483
웅래빌딩 주차장,0,2.0,10200,127.080584,37.556028
원진빌딩 주차장,0,17.0,10200,127.081014,37.555283
능동로36길 036-00 주차장,0,4.0,10200,127.081005,37.555642
능동로36길 032-00 주차장,0,1.0,10200,127.080817,37.555718
베스트빌 2 주차장,0,8.0,10200,127.080237,37.552818
능마루주택 주차장,0,2.0,10200,127.079649,37.552352
능동로24길 044-00 주차장,0,6.0,10200,127.079198,37.552228
능동로36길 108-03 주차장,0,7.0,10200,127.084665,37.554077
능동로36길 110-00 주차장,0,6.0,10200,127.084761,37.554173
능동로36길 112-00 주차장,0,4.0,10200,127.084894,37.554118
능동로36길 114-00 주차장,0,6.0,10200,127.084876,37.554044
능동로34길 047-00 주차장,0,5.0,10200,127.081935,37.554849
휴앤하임 주차장,0,5.0,10200,127.081854,37.55504
능동로34길 156-00 주차장,0,4.0,10200,127.087308,37.552578
욱현하이브빌 주차장,0,13.0,10200,127.086517,37.55252
능동로34길 145-00 주차장,0,5.0,10200,127.087017,37.552947
행복한집 주차장,0,8.0,10200,127.080931,37.552775
능동로24길 070-00 주차장,0,1.0,10200,127.080362,37.552956
능동로24길 056-00 주차장,0,6.0,10200,127.079749,37.55266
능동로24길 054-00 주차장,0,4.0,10200,127.079677,37.552507
능동로24길 052-00 주차장,0,5.0,10200,127.079609,37.552568
코지빌 주차장,0,1.0,10200,127.079751,37.552438
어린이대공원 후문주차장,0,251.0,10200,127.083798,37.551075
서울시민안전체험관 주차장,0,7.0,10200,127.077272,37.55173
육영재단어린이회관 주차장,20000,350.0,10200,127.077636,37.546993
어린이대공원 정문주차장,20000,395.0,10200,127.076738,37.550749
능동로34길 037-07 주차장,0,4.0,10200,127.081749,37.555076
능동로34길 037-00 주차장,0,4.0,10200,127.081486,37.555031
천호대로112길 023-00 주차장,0,1.0,10200,127.081311,37.555111
능동로34길 038-00 주차장,0,4.0,10200,127.081446,37.554858
능동로32길 065-00 주차장,0,4.0,10200,127.082074,37.554232
천호대로118길 020-00 주차장,0,5.0,10200,127.084997,37.553802
능동로34길 105-00 주차장,0,6.0,10200,127.084915,37.553719
천호대로118길 028-00 주차장,0,7.0,10200,127.084831,37.553514
능동로34길 101-00 주차장,0,10.0,10200,127.084795,37.553825
능동로34길 099-00 주차장,0,8.0,10200,127.084656,37.553877
동성빌딩 주차장,0,5.0,10200,127.079726,37.5567
능동로 302-00 주차장,0,2.0,10200,127.079554,37.556595
호텔부띠끄나인 주차장,0,30.0,10200,127.084068,37.55766
능동로32길 063-00 주차장,0,2.0,10200,127.081943,37.554262
하우젠팰리스 주차장,0,8.0,10200,127.084514,37.553936
능동로34길 091-00 주차장,0,8.0,10200,127.084201,37.553977
능동로32길 073-08 주차장,0,5.0,10200,127.082778,37.554204
한빛BILL 주차장,0,3.0,10200,127.082603,37.554269
능동로32길 073-05 주차장,0,4.0,10200,127.082531,37.554142
오렌지하우스 주차장,0,13.0,10200,127.082957,37.553915
하나빌라 주차장,0,10.0,10200,127.080932,37.553549
능동로24길 090-00 주차장,0,8.0,10200,127.081093,37.553641
능동로32길 054-00 주차장,0,3.0,10200,127.081393,37.554247
천호대로114길 039-00 주차장,0,8.0,10200,127.082122,37.553912
천호대로114길 044-00 주차장,0,8.0,10200,127.081776,37.553832
팰리시아 주차장,0,8.0,10200,127.082021,37.553669
능동어린이집 주차장,0,2.0,10200,127.081956,37.553587
능동 245-19 공동주택 윤영숙 주차장,0,5.0,10200,127.084089,37.554165
능동로34길 087-00 주차장,0,5.0,10200,127.084001,37.554043
능동로34길 096-06 주차장,0,5.0,10200,127.084097,37.553695
능동로34길 096-05 주차장,0,5.0,10200,127.084294,37.553623
천호대로 568-00 주차장,0,9.0,10200,127.080969,37.556217
명선풍경채 주차장,0,9.0,10200,127.081659,37.553714
능동로32길 090-00 주차장,0,4.0,10200,127.083226,37.553529
천호대로116길 039-00 주차장,0,6.0,10200,127.083429,37.553424
천호대로116길 046-00 주차장,0,7.0,10200,127.083048,37.553345
천호대로116길 050-00 주차장,0,8.0,10200,127.083049,37.553183
능동로34길 102-05 주차장,0,11.0,10200,127.08458,37.553447
천호대로118길 036-00 주차장,0,6.0,10200,127.08458,37.553214
정수아트빌 주차장,0,8.0,10200,127.083837,37.553269
