주차장이름,주차면수,경도,위도,전일가격,법정동코드
광장동IoT공유주차장,1,127.1108642,37.5509727,40000,10400
광장동IoT공유주차장,1,127.1110417,37.5513576,40000,10400
광장동IoT공유주차장,1,127.1110256,37.551333,40000,10400
102 노상주차장,1,127.111104,37.551381,40000,10400
102 거주자우선주차장,1,127.111022,37.551256,40000,10400
광장동IoT공유주차장,1,127.110962,37.551097,40000,10400
광장동IoT공유주차장,1,127.110854,37.550945,40000,10400
105 노상주차장,1,127.1110396,37.5513585,40000,10400
105 노상주차장,1,127.1110782,37.5514367,40000,10400
105 노상주차장,1,127.1111297,37.5514912,40000,10400
105 노상주차장,1,127.110117,37.551575,40000,10400
105 노상주차장,1,127.111179,37.551612,40000,10400
105 노상주차장,1,127.110409,37.551177,40000,10400
광장동IoT공유주차장,1,127.110094,37.551043,40000,10400
광장동IoT공유주차장,1,127.11012,37.551021,40000,10400
광장동IoT공유주차장,1,127.110077,37.551052,40000,10400
광장동IoT공유주차장,1,127.110206,37.5509604,40000,10400
광장동IoT공유주차장,1,127.1102499,37.5509391,40000,10400
광장동IoT공유주차장,1,127.1102961,37.5509238,40000,10400
광장동IoT공유주차장,1,127.1101523,37.5509842,40000,10400
광장동IoT공유주차장,1,127.110482,37.550861,40000,10400
광장동IoT공유주차장,1,127.110334,37.550927,40000,10400
광장동IoT공유주차장,1,127.110365,37.550895,40000,10400
광장동IoT공유주차장,1,127.110609,37.550458,40000,10400
광장동IoT공유주차장,1,127.110477,37.550168,40000,10400
광장동IoT공유주차장,1,127.1102907,37.5495339,40000,10400
광장동IoT공유주차장,1,127.1102274,37.5494047,40000,10400
광장동IoT공유주차장,1,127.110207,37.5493638,40000,10400
광장동IoT공유주차장,1,127.110391,37.549837,40000,10400
광장동IoT공유주차장,1,127.110209,37.549494,40000,10400
광장동IoT공유주차장,1,127.110366,37.549839,40000,10400
광장동IoT공유주차장,1,127.1099989,37.5511161,40000,10400
광장동IoT공유주차장,1,127.1100144,37.5511003,40000,10400
광장동IoT공유주차장,1,127.1100246,37.5510876,40000,10400
광장동IoT공유주차장,1,127.1099533,37.5511458,40000,10400
광장동IoT공유주차장,1,127.1099807,37.5511292,40000,10400
광장동IoT공유주차장,1,127.109924,37.548931,40000,10400
광장동IoT공유주차장,1,127.1106415,37.5502876,40000,10400
광장동IoT공유주차장,1,127.1106265,37.5502502,40000,10400
광장동IoT공유주차장,1,127.1106008,37.5502144,40000,10400
광장동IoT공유주차장,1,127.1105611,37.5501183,40000,10400
광장동IoT공유주차장,1,127.1105375,37.5500741,40000,10400
광장동IoT공유주차장,1,127.1105268,37.5500418,40000,10400
광장동IoT공유주차장,1,127.1105289,37.5500111,40000,10400
광장동IoT공유주차장,1,127.10988,37.548801,40000,10400
광장동IoT공유주차장,1,127.109812,37.548621,40000,10400
광장동IoT공유주차장,1,127.109834,37.548694,40000,10400
132 거주자우선주차장,1,127.1096839,37.5494319,40000,10400
132 거주자우선주차장,1,127.109625,37.549442,40000,10400
광장동IoT공유주차장,1,127.109692,37.548523,40000,10400
145-8 노상주차장,1,127.110516,37.551576,40000,10400
145-8 노상주차장,1,127.109998,37.551123,40000,10400
145-8 노상주차장,1,127.110265,37.55158,40000,10400
148-6 노상주차장,1,127.108807,37.548466,40000,10400
244-7 노상주차장,1,127.1039594,37.545699,40000,10400
244-7 노상주차장,1,127.1038523,37.5457335,40000,10400
244-7 노상주차장,1,127.1036527,37.5458061,40000,10400
244-7 노상주차장,1,127.1037612,37.5457597,40000,10400
244-7 노상주차장,1,127.10388,37.545707,40000,10400
244-7 노상주차장,1,127.103699,37.545801,40000,10400
244-7 노상주차장,1,127.104151,37.545668,40000,10400
244-7 거주자우선주차장,1,127.104045,37.545668,40000,10400
244-7 노상주차장,1,127.10378,37.545749,40000,10400
244-7 노상주차장,1,127.10399,37.545673,40000,10400
245-8 노상주차장,1,127.1034371,37.5458954,40000,10400
245-8 노상주차장,1,127.103492,37.545729,40000,10400
245-8 노상주차장,1,127.1034329,37.5456664,40000,10400
245-8 노상주차장,1,127.103459,37.545697,40000,10400
248-24 노상주차장,1,127.102816,37.546083,40000,10400
250 노상주차장,1,127.1035841,37.5462752,40000,10400
250 노상주차장,1,127.1037217,37.5462269,40000,10400
250 노상주차장,1,127.104032,37.546056,40000,10400
250 노상주차장,1,127.104108,37.5460291,40000,10400
250 노상주차장,1,127.1046794,37.5457816,40000,10400
250 노상주차장,1,127.104562,37.5458439,40000,10400
250 노상주차장,1,127.1042941,37.5458199,40000,10400
250 노상주차장,1,127.104657,37.54579,40000,10400
250 노상주차장,1,127.104429,37.546011,40000,10400
250 노상주차장,1,127.10423,37.545978,40000,10400
250 노상주차장,1,127.104162,37.545698,40000,10400
250 노상주차장,1,127.104556,37.546159,40000,10400
250 노상주차장,1,127.104598,37.545824,40000,10400
250 노상주차장,1,127.104215,37.545735,40000,10400
250 노상주차장,1,127.104083,37.546042,40000,10400
256-4 노상주차장,1,127.1037493,37.5460088,40000,10400
