주차장이름(pl_nm),법정동코드(bemd_code),일반-1일(전일)(pl_allday_pass_amt),계획주차면수(pl_num_space_planned),경도(logitude),위도(latitude)
리치팰리스 주차장,10500,0,20.0,127.065975,37.53809
동일로18가길 014-00 주차장,10500,0,2.0,127.0644,37.539042
능동로3다길 006-00 주차장,10500,0,1.0,127.065115,37.533794
동일로2길 041-00 주차장,10500,0,1.0,127.062641,37.534751
뚝섬로22가길 020-06 주차장,10500,0,2.0,127.062381,37.535235
동일로4가길 006-00 주차장,10500,0,2.0,127.062346,37.535902
경동그린맨션 주차장,10500,0,35.0,127.067728,37.536812
서울클리닉빌딩 주차장,10500,0,11.0,127.065431,37.535871
뚝섬리버빌7차 주차장,10500,0,8.0,127.064102,37.534497
능동로7길 041-08 주차장,10500,0,4.0,127.066902,37.537139
뚝섬로31가길 018-00 주차장,10500,0,3.0,127.067118,37.536442
능동로5길 011-00 주차장,10500,0,3.0,127.067257,37.536545
뚝섬로31길 005-00 주차장,10500,0,1.0,127.067491,37.535928
뚝섬로31가길 003-07 주차장,10500,0,3.0,127.067071,37.535918
동일로18가길 011-00 주차장,10500,0,3.0,127.064578,37.539151
숙희하우스 주차장,10500,0,3.0,127.064523,37.535068
한아름빌 주차장,10500,0,5.0,127.064266,37.538668
진파크빌 주차장,10500,0,6.0,127.066281,37.538061
능동로7길 060-00 주차장,10500,0,2.0,127.065926,37.537841
가민리치빌 주차장,10500,0,7.0,127.065429,37.538294
뚝섬로27길 049-10 주차장,10500,0,3.0,127.066293,37.538479
동일로10가길 024-01 주차장,10500,0,6.0,127.064354,37.538845
더풍상하우스 주차장,10500,0,4.0,127.065138,37.538673
고은빌라 주차장,10500,0,3.0,127.064968,37.539032
뚝섬로27길 059-05 주차장,10500,0,3.0,127.066456,37.538473
리베르떼 리버 주차장,10500,0,8.0,127.065154,37.538487
뚝섬로23길 060-00 주차장,10500,0,3.0,127.066697,37.537351
능동로7길 031-00 주차장,10500,0,3.0,127.067362,37.537229
뚝섬로 496-00 주차장,10500,0,3.0,127.065258,37.535994
뚝섬로32길 004-00 주차장,10500,0,2.0,127.067267,37.535353
능동로5길 010-00 주차장,10500,0,3.0,127.067348,37.536685
자양제4동주민센터 주차장,10500,0,8.0,127.0663,37.534097
뚝섬로 494-00 주차장,10500,0,4.0,127.065093,37.535961
엘스빌 주차장,10500,0,4.0,127.065302,37.537414
동일로4길 037-06 주차장,10500,0,2.0,127.063054,37.536248
동일로4길 039-00 주차장,10500,0,1.0,127.063239,37.53605
동일로4길 035-00 주차장,10500,0,2.0,127.062967,37.536075
동일로4가길 015-12 주차장,10500,0,2.0,127.06317,37.53549
뚝섬로23가길 012-00 주차장,10500,0,3.0,127.065555,37.537773
뚝섬로23길 043-00 주차장,10500,0,7.0,127.065848,37.537367
뚝섬로23길 041-00 주차장,10500,0,2.0,127.065606,37.537309
뚝섬로29길 029-00 주차장,10500,0,8.0,127.066583,37.537122
뚝섬로29길 027-00 주차장,10500,0,3.0,127.066618,37.537035
뚝섬로23길 054-00 주차장,10500,0,6.0,127.066373,37.537293
뚝섬로23길 052-07 주차장,10500,0,3.0,127.06646,37.537063
능동로5길 025-00 주차장,10500,0,5.0,127.066551,37.536764
능동로5길 017-00 주차장,10500,0,1.0,127.066891,37.536658
뚝섬로31가길 015-00 주차장,10500,0,3.0,127.066987,37.536291
뚝섬로24길 023-12 주차장,10500,0,2.0,127.063952,37.535222
뚝섬로24길 023-10 주차장,10500,0,1.0,127.063833,37.535245
뚝섬로24길 025-00 주차장,10500,0,3.0,127.063443,37.535364
제이파크 주차장,10500,0,9.0,127.063635,37.535053
뚝섬로22가길 052-00 주차장,10500,0,4.0,127.064024,37.534923
삼원제우스 주차장,10500,0,9.0,127.064139,37.534898
능동로3길 066-09 주차장,10500,0,3.0,127.063684,37.534623
능동로3길 072-00 주차장,10500,0,6.0,127.063627,37.534503
뚝섬로27길 060-00 주차장,10500,0,8.0,127.066778,37.538378
능동로9길 042-00 주차장,10500,0,4.0,127.067196,37.538106
성수교회 주차장,10500,0,12.0,127.06741,37.538157
청정팰리스 주차장,10500,0,32.0,127.067988,37.537456
뚝섬로32길 028-00 주차장,10500,0,3.0,127.066768,37.534357
리베르떼 자양 주차장,10500,0,7.0,127.06513,37.534525
뚝섬로22가길 032-00 주차장,10500,0,3.0,127.062975,37.535201
동일로4길 057-12 주차장,10500,0,1.0,127.064029,37.536002
뚝섬로28길 004-00 주차장,10500,0,3.0,127.064737,37.536113
뚝섬로23가길 013-00 주차장,10500,0,4.0,127.065324,37.537852
동일로10다길 020-05 주차장,10500,0,4.0,127.065197,37.537814
동일로2길 037-07 주차장,10500,0,2.0,127.062106,37.535067
가은빌 주차장,10500,0,7.0,127.06712,37.537479
능동로9길 037-00 주차장,10500,0,7.0,127.067475,37.537869
재화빌딩 주차장,10500,0,4.0,127.066416,37.537728
뚝섬로23길 048-00 주차장,10500,0,3.0,127.066059,37.537196
리버파크 주차장,10500,0,9.0,127.062665,37.535722
동일로4가길 009-00 주차장,10500,0,5.0,127.062556,37.53585
동일로4가길 003-00 주차장,10500,0,4.0,127.062421,37.536056
동일로4가길 004-00 주차장,10500,0,4.0,127.062281,37.536021
동익연립 주차장,10500,0,14.0,127.061807,37.535814
뚝섬로23길 036-05 주차장,10500,0,2.0,127.065527,37.53697
능동로5길 013-00 주차장,10500,0,4.0,127.067109,37.53659
뚝섬로31가길 014-00 주차장,10500,0,3.0,127.067236,37.53631
동일스타빌 주차장,10500,0,8.0,127.065007,37.537855
동일로10다길 014-08 주차장,10500,0,7.0,127.064833,37.537535
동일로10나길 024-00 주차장,10500,0,3.0,127.064796,37.53833
능동로5길 041-00 주차장,10500,0,3.0,127.065629,37.53706
뚝섬로 512-00 주차장,10500,0,2.0,127.067093,37.535495
뚝섬로32길 013-00 주차장,10500,0,2.0,127.067305,37.534957
능동로3다길 004-00 주차장,10500,0,2.0,127.065211,37.533859
드림리버뷰 주차장,10500,0,6.0,127.063824,37.534193
삼풍빌딩 주차장,10500,0,8.0,127.061575,37.536913
뚝섬로 462-00 주차장,10500,0,3.0,127.061804,37.536871
대원빌딩 주차장,10500,0,14.0,127.062159,37.536776
자양리치빌 에이동 주차장,10500,0,16.0,127.062523,37.536681
뚝섬로22가길 058-05 주차장,10500,0,1.0,127.064169,37.534645
루시드 자양 101 주차장,10500,0,11.0,127.065622,37.534173
능동로3라길 011-00 주차장,10500,0,11.0,127.064926,37.534327
명성빌딩 주차장,10500,0,5.0,127.064843,37.534589
뚝섬로32길 028-08 주차장,10500,0,2.0,127.066711,37.534673
뚝섬로32길 028-09 주차장,10500,0,4.0,127.066487,37.534676
능동로5길 029-00 주차장,10500,0,3.0,127.066369,37.536839
뚝섬로 476-00 주차장,10500,0,6.0,127.063137,37.536416
랜드마크 주차장,10500,0,29.0,127.063384,37.536237
동일로4길 037-05 주차장,10500,0,10.0,127.062811,37.536267
동일로4길 038-00 주차장,10500,0,3.0,127.062998,37.535929
뚝섬로24길 033-00 주차장,10500,0,3.0,127.063285,37.535008
리버하임 주차장,10500,0,5.0,127.063454,37.536056
한강모터스손세차 주차장,10500,0,11.0,127.064206,37.536144
뚝섬아트빌 주차장,10500,0,10.0,127.063855,37.535966
마이바움 자양 주차장,10500,0,6.0,127.063756,37.535967
동일로4길 056-05 주차장,10500,0,2.0,127.064269,37.535543
동일로4길 056-17 주차장,10500,0,5.0,127.064639,37.535144
건우빌라 주차장,10500,0,4.0,127.066333,37.538825
건우빌라 주차장,10500,18000,33.0,127.066075,37.538917
뚝섬로27길 049-16 주차장,10500,0,2.0,127.066202,37.538681
뚝섬로23가길 034-00 주차장,10500,0,4.0,127.066004,37.538589
뚝섬로27길 055-00 주차장,10500,0,4.0,127.066537,37.538304
경보주택 주차장,10500,0,21.0,127.066822,37.536266
아이세계어린이집 주차장,10500,0,4.0,127.062206,37.536131
동일로2길 035-00 주차장,10500,0,3.0,127.062277,37.534821
동일로10다길 020-08 주차장,10500,0,5.0,127.065127,37.537652
J-village 주차장,10500,0,4.0,127.067733,37.537649
뚝섬로23길 071-00 주차장,10500,0,6.0,127.067382,37.537738
능동로3마길 007-05 주차장,10500,0,1.0,127.064341,37.534631
선덕빌딩 주차장,10500,20000,23.0,127.066241,37.536169
뚝섬로 493-00 주차장,10500,0,2.0,127.065206,37.536283
뚝섬로 472-00 주차장,10500,0,4.0,127.062868,37.536643
능동로3길 054-00 주차장,10500,0,10.0,127.064531,37.534226
AMF하우스 주차장,10500,0,2.0,127.066091,37.535102
뚝섬로32길 005-04 주차장,10500,0,2.0,127.067604,37.53517
동일로10가길 014-01 주차장,10500,0,7.0,127.064032,37.53866
동일로4길 057-08 주차장,10500,0,1.0,127.064085,37.535903
